pond cross id treatment sex sl bd olf_size tele_size optic_size cere_size
13 7 91 P F 41.57 8.43 2.08496373128453 18.643570767403 50.4771945230916 18.8774139867851
13 7 92 P F 42.09 8.81 5.0914171695482 25.9911950391894 76.4613782009262 29.2675918821409
13 7 94 P F 46.96 9.69 6.67479362790898 35.4722889526608 96.558382551315 38.9896521681833
13 7 95 P M 45.71 9.83 5.20500557991208 29.3065582899977 83.3057148594932 31.2577687234912
13 7 97 P M 39.95 8.49 4.26782092226644 23.5988922963656 72.2034583813423 32.6046152272839
13 7 100 P M 46.98 10.08 6.20609001770917 39.0808068593325 98.8798823669152 59.0991480840377
14 2 76 NP M 43.52 9.22 6.30292614219788 49.5791906784759 154.985637392847 76.9875182234073
14 2 77 NP M 47.02 9.47 5.87434045141852 47.6508030657127 137.655522301509 61.3338926753334
14 2 80 NP M 42.4 8.1 3.69239871785312 33.6726206344655 101.815887218499 47.1075462243903
14 2 82 NP F 48.86 10.19 6.83299579541698 44.0845358201446 119.919058556743 49.1173597839948
14 2 83 NP F 31.36 6.46 4.87911180094014 21.9680422212026 77.1285903344918 33.9577212581623
14 2 84 NP F 34.03 6.59 5.66559607553216 25.0023285509654 72.423144470088 33.9987276080494
14 2 85 NP F 43.03 8.46 4.36290850970069 41.3221662975465 115.466085415251 53.9831009709084
14 2 86 NP M 49.95 10 8.03206080746877 42.9652549744163 137.647769515859 64.2760461645544
14 2 88 NP F 42.51 8.51 4.71242364175818 51.3846948322313 124.787832760056 43.8726490952256
14 2 89 NP F 45.32 8.63 5.87071422487057 37.4382413031438 114.875764394167 47.6682250762709
14 2 90 NP F 38.87 7.63 5.82654518375476 35.9103912375464 109.343465607373 44.091211281176
14 2 91 NP F 39.43 8.47 6.27578632317904 42.1215893165892 106.535022707399 49.8266791408381
14 2 93 NP F 43.57 8.95 5.44949445061146 43.606890572621 121.970556977793 59.5488799130652
14 2 94 NP M 43.4 8.03 5.01784829081385 35.6820768068301 107.751328525464 49.5567142595951
14 2 95 NP M 40.1 8.14 3.63885657952782 28.1064863943352 81.188494964917 31.2346066159643
14 2 97 NP F 42.45 8.69 5.04159148400353 37.5310211844924 102.418223294442 51.3180219160582
14 2 98 NP M 40.7 8.03 4.07386206276323 35.5845811518127 95.8252486401063 49.7403637164188
14 2 99 NP M 42.33 8.82 5.14148433320035 33.0596246479701 98.1845527658425 38.5542092964031
14 2 100 NP M 46.23 9.89 6.3788333959447 35.5437869298748 98.3059125339699 41.8225137733417
5 1 53 NP M 33.53 6.1 4.07150407905237 29.7320328735738 81.7467541205293 39.7434291208144
5 1 54 NP F 27.91 5.39 3.14487704590946 24.5135916049231 61.749211834282 23.2115993703473
5 1 56 NP M 28.05 5.66 7.73745331577747 51.4615287637601 114.939860563298 73.0931460240657
5 1 58 NP F 26.94 5.23 5.50445007234677 31.4918256488855 87.9627565986297 39.0318273998452
5 1 61 NP M 37.97 6.69 4.39537372170426 28.1532829493961 85.2188734775675 29.6943460165384
5 1 64 NP M 26.05 5.77 4.24138386207858 29.0107781605881 79.5428948649768 32.8364607876645
5 1 65 NP M 34.8 6.8 2.0782402912035 23.4913051439099 78.7444570562975 33.6461900391342
5 1 78 NP F 33.35 6.23 3.03002291748837 24.5816208579275 75.9478504914385 30.2955069684263
5 1 82 NP F 32.48 6.89 2.49738799744962 22.5857235026426 79.0994331088943 27.7932960657849
5 1 84 NP F 34.78 7.08 3.72656789541747 30.9232187181909 79.0482020469481 28.2890869142454
5 1 87 NP F 37.86 7.47 4.50172228551506 31.9440015192497 83.2020285440313 32.7467400905436
5 1 89 NP F 37.69 7.19 5.03295377862176 32.7834496802823 87.3390460893648 42.4681689527267
5 1 91 NP F 42.89 8.75 6.88680096580944 36.2001640402487 114.34507626568 51.3066804393296
5 1 93 NP F 34.51 6.59 3.13658417019286 27.4760083243274 70.1580960162925 25.2847649530303
5 1 94 NP M 34.11 6.53 3.48483709273553 20.6707326134386 67.2519298244992 30.6740447030093
5 1 95 NP F 35.33 6.4 3.56883801718279 25.6953594798067 65.492801657513 29.6072682272975
5 1 97 NP M 39.55 7.08 2.86113024172347 28.5773519844362 76.9019974059685 33.085365172476
5 1 98 NP M 39.95 7.98 5.19027018119332 37.5421932271125 112.008320761422 49.9537800218331
5 1 99 NP M 37.63 6.89 2.72517756328541 29.0872399616707 72.9865845994672 31.7342797118388
5 1 100 NP M 36.41 6.41 4.20504969209797 28.5961138005967 84.5376600146273 31.4699043118577
6 6 52 NP M 30.89 5.96 2.88969128373229 22.3718170207625 61.7829368396641 23.0300979754354
6 6 54 NP F 30.6 6.35 5.23228141145996 35.6014097373813 105.04860645645 40.7156212124553
6 6 57 NP M 31.22 6.51 3.7886321953204 20.9735918801834 62.1601319709214 27.0976698224067
6 6 58 NP M 35.13 7.23 2.34658675592853 17.9660630204178 57.9071153289823 20.9838083412319
6 6 64 NP M 44.26 9.49 3.96658110432232 38.9887449320685 115.723092340614 48.6161878051775
6 6 69 NP F 37.53 7.06 4.44222914912756 39.3570371168895 93.7214947649225 44.4086348789274
6 6 72 NP M 35.74 7.47 3.29546922767247 34.0754236480096 87.9714865153295 38.1828753742763
6 6 73 NP M 36.73 7.29 4.27940728619208 27.4771491325308 76.8528917947075 36.6098292230957
6 6 75 NP F 28.91 6.07 2.20588131827538 23.9721080530413 68.3439186072162 26.515087295808
6 6 76 NP F 35.24 7.1 7.61677636788858 57.1242787481874 132.54094831197 56.005218934011
6 6 77 NP F 42.91 8.68 6.6723293932675 48.2085410870879 124.522371889766 53.9042866883851
6 6 91 NP F 37.53 7.42 5.18556655765109 33.6966383935308 92.8434100900381 41.5894128615237
6 6 92 NP F 42.89 8.22 2.51131062746334 43.8766664968925 106.527732714263 47.3469172913616
6 6 94 NP F 42 8.61 2.48092511164146 33.5486660487006 81.7413962274266 35.298664668206
6 6 95 NP F 34.06 7.02 3.10877065041963 21.2629616223911 57.7815671916722 23.6202005372393
6 6 97 NP M 43.39 8.19 5.23993139889627 37.2967409307049 111.625401730494 45.667683382781
6 6 98 NP M 35.95 7.03 3.13365199413713 21.214646266079 76.7356693572393 32.5557722029397
6 6 99 NP F 39.34 7.7 4.12246630785551 41.5051591968832 95.358392824597 37.8592374461842
6 6 100 NP M 39.78 7.61 4.21002886806262 31.0773102375001 95.8204202646846 38.366546658086
7 6 65 P F 35.27 6.86 4.90615870643345 26.3993073810024 64.8761274122515 36.6871489115537
7 6 66 P M 43.89 8.9 2.29360807404661 23.7365881646565 80.9439495321565 25.9583539379267
7 6 67 P M 41.6 8.54 4.26179561752287 33.1377924358735 116.639943313622 48.8712843423955
7 6 68 P M 40.67 8.29 3.76117362973996 25.7057380145026 87.9660342625969 37.726177187387
7 6 69 P M 43.51 8.52 2.95107501454611 39.310971299129 93.4185895125812 42.1643184787877
7 6 70 P M 44.67 9.81 5.40385232908527 39.8277892616252 112.378645492413 50.2114535384584
7 6 71 P F 36.16 7.09 2.7469236927663 29.88291192724 78.9038317355252 32.2988790428701
7 6 74 P M 41.23 7.92 3.7157003210613 20.5396004302345 69.5940729040431 28.7346970116616
7 6 75 P M 47 9.55 5.83039629499134 35.3918000512531 93.3329087290114 40.5965423043561
7 6 83 P F 38.06 7.45 5.90299279675172 28.9874703532182 86.1424827351037 37.094862515392
7 6 84 P F 42.17 8.37 3.82341839768461 38.3601147183653 105.683095054452 40.1455834888293
7 6 85 P F 45.45 9.07 3.65849773333525 43.6161935905993 119.58794100144 48.6343576786671
7 6 93 P F 39.14 7.9 4.84957185959144 30.4828796046175 93.3631746388684 37.456276155733
7 6 94 P M 37.67 7.24 5.40820127387779 25.857961668166 81.2563026196088 32.9269316437205
7 6 95 P F 40.19 7.85 4.90081018237751 25.8915553559116 72.4579023709231 32.0313626778056
7 6 96 P F 43.85 9.27 4.49513274062638 39.9648005902936 108.588274776722 52.5929286715132
7 6 97 P F 38.84 7.47 4.22852882222143 27.1954225757602 72.0190036855678 34.8769817208203
7 6 98 P F 39.64 7.93 3.82229146127588 27.6207621843186 86.1692535184499 36.7585959690995
7 6 99 P M 51.05 10.19 5.4160198645896 41.6380014967818 122.856406393646 53.4618322855804
8 4 51 NP M 30.37 5.6 2.8140090432542 12.7981345987768 44.7810413835125 22.8625179336242
8 4 52 NP M 36.1 6.56 4.61292109882466 27.2587943472316 75.1284916486481 33.0879897337348
8 4 58 NP M 37.42 7.8 5.29771464236901 21.2989203346733 73.1115499371496 30.3654219837873
8 4 63 NP M 35.71 6.43 4.23931853693862 22.88938294387 68.3238389072292 23.7332578669863
8 4 64 NP F 32.1 5.64 4.85051266464285 23.6564366924176 66.1438571132942 24.7605784828304
8 4 66 NP M 32.58 6.14 3.66852472712291 20.6073201262918 65.0240444657464 31.0662235849679
8 4 69 NP F 37.47 7.3 5.27175287213939 24.0868520017793 70.3169136650309 33.6072715549323
8 4 73 NP M 41.37 7.95 4.82762737379444 29.331291258659 87.7753514645738 42.347062125473
8 4 74 NP F 31.37 5.88 2.11047706478657 14.9426465254353 45.0170074784043 17.1997709794536
8 4 75 NP F 32.02 6.36 3.95954281496742 23.0959044932938 66.0802814020277 25.3136366879758
8 4 83 NP F 40.91 7.62 3.0277053122396 35.6240782032608 101.398766835659 43.7635881739447
8 4 84 NP F 35.25 7.45 5.07656516802054 32.7472929252165 94.2036981676289 36.6581121051264
8 4 86 NP F 37.69 7.33 5.99242616797655 42.369919617665 126.338960994998 47.1300072924119
8 4 87 NP F 40.69 7.51 5.84666302025562 36.9759413803185 96.2596021917455 45.8263428392241
8 4 90 NP F 40.23 7.7 5.48403289860004 43.7706442739817 112.576948101645 51.0188388653526
8 4 91 NP M 43.72 8.75 6.40663055388455 36.0350446624153 107.052647518843 41.2645943649585
8 4 92 NP M 39.09 7.34 4.68414176455225 35.9949002915342 98.6208089881105 41.9761451737845
8 4 93 NP F 37.65 6.92 6.87102367342102 41.2289523801313 101.883591356199 46.3847624981559
8 4 96 NP M 40.04 7.44 4.39338705277756 31.6083954722679 88.5790501589373 39.6776483530938
8 4 97 NP F 40.54 7.89 6.08193798134619 36.3053536843743 103.273186922565 41.4131103219526
8 4 98 NP M 37.59 7.52 6.54813816369031 32.8328502683251 96.7494384331448 35.9116635309271
9 7 51 NP F 34.14 6.82 3.13707749478091 23.1605904566282 57.4757960491237 27.4415550524638
9 7 52 NP M 38.05 7.27 4.89056829931853 24.0075341267058 68.6431067415827 30.9662791690856
9 7 55 NP M 34.64 6.68 4.02083056151454 24.078350995277 80.1800994181615 29.0948324119994
9 7 57 NP M 32.8 6.88 4.55632973699909 20.667932720762 67.9787857305385 25.3775280863751
9 7 76 NP M 36.2 7.35 4.61227303565343 25.8360811046597 67.7357579747839 30.5339489103374
9 7 77 NP F 37.27 7.32 4.78647366989207 28.3775898318347 76.5210566882686 33.6211735776115
9 7 78 NP F 52.4 10.38 5.01919290690894 41.0035073672951 93.2109082047911 46.7516529482688
9 7 79 NP M 48 9.12 2.49350409795392 38.0165848943834 85.4980731489723 41.3453189109906
9 7 80 NP M 50.79 10.02 2.91316827320964 29.8703751500694 82.289482716308 33.916568382831
9 7 83 NP M 41.34 8.52 5.8325013589997 34.5231701935106 101.368032907186 42.8976863721489
9 7 87 NP F 54.05 11.37 4.6564915058723 53.2860180269106 128.463050611903 59.8927112483296
9 7 88 NP M 44.51 8.9 4.50819821496752 33.6242131819876 105.505161372904 39.3927092345303
9 7 89 NP M 47.66 10.01 3.39938782439988 36.2058780463515 84.9403198376616 39.9670071314678
9 7 91 NP F 48.17 10.28 2.48579974063095 36.0729118574345 90.4536941521469 38.502459655914
9 7 92 NP F 60.53 13.18 7.57028542245355 56.9161123470081 147.657552085146 63.2104953107944
9 7 94 NP F 51.8 11.4 3.27249234748937 49.8128245255103 134.248228109999 57.4008534062106
9 7 95 NP F 55.24 11.47 5.97310546387383 50.0888828178539 101.005601933116 53.6523189890889
9 7 96 NP F 50.54 10.81 3.05868967561098 39.8928277384945 98.5217798999644 38.8937532263653
9 7 98 NP F 35.26 7.18 3.11035883894107 26.1502462717928 81.1444820144014 28.2762804088614
9 7 100 NP M 37.05 7.09 3.43182669913047 23.2855302616769 64.6496283887654 33.8946374230052
