pond	family	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	sex
5	2	17	46	110.164	66.483	285.797	215.035	348.574	357.099	292.171	304.237	58.51	m
5	2	18	48	118.457	78.638	263.492	218.742	388.417	354.457	296.061	286.342	62.19	m
5	2	19	44	86	64	256.07	168.012	372	308.058	250.008	258.008	57.33	f
5	2	2	48	84.9	74.243	281.155	186.687	378.64	350.964	254.071	258.031	52.95	m
5	2	20	44	85.907	77.279	242.33	198.917	360.411	346.439	249.56	256.912	51.11	f
5	2	21	46	105.546	82.873	244.663	173.666	384.796	335.452	247.257	257.317	55.83	f
5	2	22	44	92.195	84.095	254.786	188.096	401.617	346.976	252.198	252.127	56.72	f
5	2	23	46.043	92.347	78.102	280.713	198.595	352.142	332.385	266.068	262.122	56.72	f
5	2	24	46	82.219	70.456	252.301	180.898	346.554	311.416	268.701	283.436	56.62	f
5	2	25	44	86.023	68	260.377	190.011	396.247	346.092	252.127	272.029	62.05	f
5	2	3	44	90.2	68.029	262.191	148.122	322	268.119	206	220	48.01	f
5	2	4	44.045	76.105	74.243	274.357	163.487	328.055	306.026	252.071	266.12	54.93	m
5	2	6	46	103.942	83.187	267.642	204.841	377.068	347.615	252.198	266.188	62.49	m
6	1	1	46.043	130	92.022	240.033	198.04	372.193	316.006	272.007	294.027	59.3	f
6	2	1	46	104.019	96.021	284.063	218.009	380.021	376.048	284.063	304.105	58	m
6	2	10	52.154	88.023	80.025	289.358	188.383	369.957	314.306	278.718	260.768	54.8	m
6	2	11	46.043	116	76.026	250.008	200	374.262	320.156	258.008	268.007	53.1	m
6	2	12	46.043	92.542	72.25	260.929	207.171	392.25	358.452	278.007	258.627	58.8	m
6	2	13	46	86	56	276.355	178.404	408.123	368.266	266.481	293.339	57.4	f
6	2	14	44.045	114.28	76.026	257.752	195.028	364.428	356.253	235.44	269.904	55.8	m
6	2	15	48.042	80	78	238.302	172	350.051	322.224	250.072	254.197	60.3	m
6	2	15	48.042	80	78	238.302	172	350.051	322.224	250.072	254.197	60.3	m
6	2	2	46	106.17	92.022	240.533	192.26	388.082	348.281	266.12	270.03	58.6	f
6	2	3	40	84	66	276	204	356	330	260	268	54	m
6	2	7	42	82	80	296	194	409.888	338.733	218.147	350.525	60.1	f
6	2	9	40	50	84	296	196	378	378	234	310	62.2	f
7	1	10	56.143	69.857	69.857	255.351	186.762	375.926	339.912	232.422	204.088	50.4	m
7	1	11	50	60.033	60.133	246.658	198.494	304.381	278.883	203.421	247.37	53.66	m
7	1	12	44.045	78.102	62.29	217.117	178.55	311.448	288.562	252.872	237.899	54.35	f
7	1	13	46	102.703	72.691	209.38	173.401	362.668	300.167	246.357	241.868	62.19	f
7	1	14	52.154	92.022	76.105	268.119	200.04	402.318	358.006	282.255	296.007	64.59	f
7	1	15	52.038	88.023	58.034	236.136	182.011	328.299	284.45	241.197	239.641	48.38	f
7	1	16	56	78	76.026	220.036	154	330.024	272.118	234.214	244.205	48.32	f
7	1	19	46	52	52.038	208.01	142.014	284.007	246.073	168.012	192.094	43.08	m
7	1	20	44	82	64.031	222.009	176.011	302.026	272.066	218.33	228	51.79	f
7	1	21	42.048	50.04	52	202.04	148.054	266.481	239.416	210.152	212.763	45.46	f
7	1	22	50.04	62.032	68.029	270.03	210.086	338.095	322.304	246	242.033	44.84	m
7	1	23	42	66.121	62	248.805	176.918	306.62	288.513	212.339	250.072	51.54	m
7	1	24	42	52.612	42.426	202.247	158.808	292.171	232.215	196.092	220.009	46.85	f
7	1	26	44	59.666	54.406	237.756	145.066	304.795	293.019	232.86	242.998	50.18	m
7	1	27	44.045	70.711	68.118	242.99	165.747	295.147	275.637	216.083	250.647	47.3	m
7	1	28	58.034	85.907	69.857	258.496	169.446	334.646	305.791	244.99	257.527	54.74	f
7	1	3	50	64.031	60.133	242.405	186.043	300.24	324.154	258.07	250.2	53.7	f
7	1	30	44.045	42.19	43.681	222.171	154.738	294	262.031	212.085	226.009	46.72	m
7	1	31	48.042	100.02	80.1	288.007	214.009	354.051	346.052	240.075	288.062	62.27	f
7	1	4	48	76.026	74	254.197	182.099	360.139	324.154	244.033	254.008	55.1	f
7	1	5	50	82.024	70.029	264.008	200.09	342.707	338.053	270.03	264.03	56.6	f
7	1	7	46	78.102	60.133	239.04	176.918	292.985	301.702	252.032	286.112	49.5	f
7	1	8	48	92.195	69.426	250.894	181.604	339.912	332.096	246.089	277.2	47.2	f
7	1	9	46.174	82.024	88.091	266.481	208.24	308.785	318.76	246.52	276.586	49.52	f
7	2	1	44.045	88.204	74.243	246.812	167.451	316.101	304	214.084	246.398	64.1	f
7	2	10	48.042	78.026	66.03	261.503	198.595	329.369	313.081	254.786	256.944	58.32	m
7	2	2	46	92.022	70.257	282.574	192.042	340.094	330.055	250.032	290	60.97	m
7	2	7	50.04	66.272	61.612	257.992	148.661	314.814	278.338	234.691	265.277	57.62	f
7	2	8	46.043	64.777	56.036	231.249	126.775	308.415	284.851	218.449	258.279	55.04	f
7	2	9	44	70.029	66.121	248.395	144.679	312.006	265.089	222.009	244.033	58.44	f
7	3	3	50.04	96	100.02	262.122	192.842	334.006	301.496	258	236.008	61.48	f
8	1	1	46.174	86.023	64.125	260.192	202.158	429.93	338.373	291.046	283.436	71.4	f
8	1	11	54	112.071	88.091	286.007	190.379	400.045	342.053	260.622	262.618	65.8	f
8	1	12	48.042	118.152	66.121	284.063	172.047	434.373	337.004	278	258.07	64.78	f
8	1	13	52	92.195	82.219	288.25	212.339	388.186	342	274.007	294.027	59	m
8	1	14	48	61.188	57.585	251.873	185.828	390.046	348.006	218.009	246	55.92	m
8	1	16	48.042	103.942	67.912	256.64	159.625	371.849	311.082	230.235	267.918	54.58	f
8	1	2	42.048	78.638	64.498	274.467	166.108	404.401	317.421	263.712	266.18	60.69	f
8	1	3	50	94.191	74.108	268.477	198.04	384.333	350.28	258.031	256.125	60.1	m
8	1	4	52.038	62.032	68	282.007	202.04	348.574	330	218.147	248.008	49.16	m
8	1	5	46.043	68.469	58.549	270.969	175.647	296.554	307.461	251.03	262.427	51.25	f
8	1	7	54.037	74.243	80.399	300.326	164.985	378.021	355.629	257.123	307.103	59.26	f
8	1	8	48.042	126.063	82.024	299.132	232.078	414.661	362.795	271.065	260.622	61.61	m
8	1	9	48.042	108.019	78	286.028	194.093	394.411	368.196	282.028	272.029	67.75	f
8	2	1	52	80.1	66.03	262.008	176.102	340.212	316	216.083	234.034	54.76	f
8	2	10	52	74.967	55.317	269.948	192.208	362.05	340.852	231.698	266.443	56.9	m
