Label	Angle	Length
p5.1.11.jpg	-90.000	48.000
p5.1.11.jpg	91.909	60.033
p5.1.11.jpg	0.000	58.000
p5.1.11.jpg	-85.914	252.642
p5.1.11.jpg	1.245	184.043
p5.1.11.jpg	-90.000	336.000
p5.1.11.jpg	0.000	292.000
p5.1.11.jpg	-90.000	224.000
p5.1.11.jpg	0.000	230.000
p5.1.111.jpg	-90.000	50.000
p5.1.111.jpg	-90.000	90.000
p5.1.111.jpg	0.000	76.000
p5.1.111.jpg	-90.000	270.000
p5.1.111.jpg	0.000	182.000
p5.1.111.jpg	-90.000	410.000
p5.1.111.jpg	0.000	374.000
p5.1.111.jpg	-90.000	264.000
p5.1.111.jpg	0.000	274.000
p5.1.121.jpg	-90.000	48.000
p5.1.121.jpg	-90.000	62.000
p5.1.121.jpg	0.000	72.000
p5.1.121.jpg	90.000	268.000
p5.1.121.jpg	0.000	194.000
p5.1.121.jpg	-90.000	352.000
p5.1.121.jpg	0.000	306.000
p5.1.121.jpg	-90.000	258.000
p5.1.121.jpg	0.000	258.000
p5.1.131.jpg	-90.000	48.000
p5.1.131.jpg	-90.000	72.000
p5.1.131.jpg	0.000	64.000
p5.1.131.jpg	90.000	236.000
p5.1.131.jpg	0.000	160.000
p5.1.131.jpg	-90.000	338.000
p5.1.131.jpg	0.000	298.000
p5.1.131.jpg	-90.000	214.000
p5.1.131.jpg	0.000	222.000
p5.1.141.jpg	-90.000	42.000
p5.1.141.jpg	-90.000	80.000
p5.1.141.jpg	0.000	50.000
p5.1.141.jpg	-90.000	258.000
p5.1.141.jpg	0.000	190.000
p5.1.141.jpg	-90.000	350.000
p5.1.141.jpg	0.000	302.000
p5.1.141.jpg	-90.000	240.000
p5.1.141.jpg	0.000	236.000
p5.1.151.jpg	-90.000	46.000
p5.1.151.jpg	-93.302	104.173
p5.1.151.jpg	-4.764	72.250
p5.1.151.jpg	-96.340	271.662
p5.1.151.jpg	-6.789	169.186
p5.1.151.jpg	-98.871	350.189
p5.1.151.jpg	-9.707	308.415
p5.1.151.jpg	84.629	235.032
p5.1.151.jpg	-4.574	250.799
p5.1.161.jpg	-90.000	52.000
p5.1.161.jpg	-90.000	102.000
p5.1.161.jpg	-3.270	70.114
p5.1.161.jpg	-93.814	240.533
p5.1.161.jpg	-4.939	162.604
p5.1.161.jpg	-96.411	358.240
p5.1.161.jpg	-4.794	311.088
p5.1.161.jpg	-93.641	220.445
p5.1.161.jpg	-3.842	268.604
p5.1.171.jpg	-90.000	46.000
p5.1.171.jpg	-87.563	94.085
p5.1.171.jpg	6.520	70.456
p5.1.171.jpg	-82.255	252.301
p5.1.171.jpg	9.142	176.238
p5.1.171.jpg	-85.741	377.041
p5.1.171.jpg	6.749	340.359
p5.1.171.jpg	-88.091	240.133
p5.1.171.jpg	1.975	290.172
p5.1.181.jpg	-90.000	48.000
p5.1.181.jpg	-90.000	90.000
p5.1.181.jpg	1.848	62.032
p5.1.181.jpg	-88.603	246.073
p5.1.181.jpg	-0.707	162.012
p5.1.181.jpg	-89.349	352.023
p5.1.181.jpg	1.153	298.060
p5.1.181.jpg	-90.486	236.008
p5.1.181.jpg	2.816	244.295
p5.1.191.jpg	-87.614	48.042
p5.1.191.jpg	-90.000	96.000
p5.1.191.jpg	-1.507	76.026
p5.1.191.jpg	-90.769	298.027
p5.1.191.jpg	-1.736	198.091
p5.1.191.jpg	-92.227	360.272
p5.1.191.jpg	-1.287	356.090
p5.1.191.jpg	-90.000	252.000
p5.1.191.jpg	0.424	270.007
p5.1.201.jpg	-90.000	44.000
p5.1.201.jpg	-91.848	124.064
p5.1.201.jpg	-5.194	66.272
p5.1.201.jpg	-93.247	282.454
p5.1.201.jpg	-4.170	192.510
p5.1.201.jpg	-91.757	326.153
p5.1.201.jpg	-0.662	346.023
p5.1.201.jpg	-88.717	268.067
p5.1.201.jpg	3.033	302.424
p5.1.21.jpg	-90.000	44.000
p5.1.21.jpg	-90.000	84.000
p5.1.21.jpg	-3.576	64.125
p5.1.21.jpg	-90.000	232.000
p5.1.21.jpg	0.000	150.000
p5.1.21.jpg	90.000	320.000
p5.1.21.jpg	0.000	284.000
p5.1.21.jpg	-90.000	214.000
p5.1.21.jpg	0.000	234.000
p5.1.221.jpg	-90.000	50.000
p5.1.221.jpg	-90.000	64.000
p5.1.221.jpg	0.000	58.000
p5.1.221.jpg	-90.000	254.000
p5.1.221.jpg	0.000	168.000
p5.1.221.jpg	-90.000	296.000
p5.1.221.jpg	0.000	280.000
p5.1.221.jpg	-90.000	222.000
p5.1.221.jpg	0.000	238.000
p5.1.31.jpg	-90.000	46.000
p5.1.31.jpg	-90.000	82.000
p5.1.31.jpg	0.000	62.000
p5.1.31.jpg	-90.000	246.000
p5.1.31.jpg	0.000	196.000
p5.1.31.jpg	-90.000	328.000
p5.1.31.jpg	0.000	312.000
p5.1.31.jpg	-90.000	236.000
p5.1.31.jpg	0.000	246.000
p5.1.41.jpg	-90.000	44.000
p5.1.41.jpg	-90.000	78.000
p5.1.41.jpg	0.000	68.000
p5.1.41.jpg	-90.000	246.000
p5.1.41.jpg	0.000	206.000
