pond	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	treatment	sl	bd
13	81	81	29	35.903	22.091	86.579	62.201	133.989	121.334	76.531	P	40.39	7.83
13	82	82	29	39.319	27.659	84.172	65.97	136.195	114.477	90.67	P	41.42	8.61
13	84	84	28.018	26.077	28.018	84.095	56.143	126.02	110.114	70.349	P	36.15	7.15
13	88	88	32.016	20.616	29.614	113.6	91.924	175.482	154.149	104.48	P	55.64	11.56
13	89	89	31.016	35.355	30.806	106.471	88.204	150.213	138.051	102.122	P	55.08	11.26
13	91	91	31.016	30.265	21.095	88.459	64.537	134.082	115.278	76.059	P	41.57	8.43
13	92	92	27	39.294	30.067	83.726	72.035	136.62	129.869	85.288	P	42.09	8.81
13	94	94	25	41	32.388	97.082	72.691	141.905	135.37	87.464	P	46.96	9.69
13	95	95	26	35	32	90.05	70.029	141.128	127.016	82.024	P	45.71	9.83
13	97	97	25.02	30.067	28.284	78.102	60.208	128.133	112.285	81.154	P	39.95	8.49
13	100	100	23	36.014	29.017	94	70.007	130.015	128.062	107.005	NP	46.98	10.08
14	76	76	21	30.083	29.411	103.325	67.357	158.521	137.244	113.508	NP	43.52	9.22
14	77	77	22	30.15	30.017	98.311	74.673	153	138.611	100.404	NP	47.02	9.47
14	80	80	24	26.019	26.019	92.136	67.007	153.013	122	97.021	NP	42.4	8.1
14	82	82	24.021	38.013	33.015	105.119	77.026	163.11	135.033	98.005	NP	48.86	10.19
14	83	83	22.091	27	28.071	74.027	46.098	115.07	104.12	81	NP	31.36	6.46
14	84	84	23	33.541	28.443	75.06	56.089	121.926	100.02	73.246	NP	34.03	6.59
14	85	85	23	29.017	25.318	96.187	72.339	155.048	125.399	95.258	NP	43.03	8.46
14	86	86	22.023	36.222	34.234	96.509	68.731	151.003	140.73	99.985	NP	49.95	10
14	88	88	22	25.02	29.017	100.08	79.101	149.013	129.016	90.089	NP	42.51	8.51
14	89	89	24	32.249	33.377	103.247	66.483	154.302	136.499	94.763	NP	45.32	8.63
14	90	90	22.023	31	29.017	88	63	136.132	124.004	83.006	NP	38.87	7.63
14	91	91	24.083	33.377	34.713	101.119	76.903	148.486	132.458	95.635	NP	39.43	8.47
14	93	93	24	35.128	28.443	100.404	79.63	156.003	143.349	107.019	NP	43.57	8.95
14	94	94	23	29.275	28.862	81.216	73.98	145.523	124.68	92.439	NP	43.4	8.03
14	95	95	26	29	27	93	65.031	142.032	123	84.006	NP	40.1	8.14
14	97	97	24	29.275	31.575	100.319	68.593	149.013	126.016	95.021	NP	42.45	8.69
