Label	Angle	Length
p6.2.31.jpg	-90.000	40.000
p6.2.31.jpg	-90.000	84.000
p6.2.31.jpg	0.000	66.000
p6.2.31.jpg	-90.000	276.000
p6.2.31.jpg	0.000	204.000
p6.2.31.jpg	-90.000	356.000
p6.2.31.jpg	0.000	330.000
p6.2.31.jpg	-90.000	260.000
p6.2.31.jpg	0.000	268.000
p6.2.71.jpg	-90.000	42.000
p6.2.71.jpg	-90.000	82.000
p6.2.71.jpg	0.000	80.000
p6.2.71.jpg	-90.000	296.000
p6.2.71.jpg	0.000	194.000
p6.2.71.jpg	-76.167	409.888
p6.2.71.jpg	21.110	338.733
p6.2.71.jpg	-87.898	218.147
p6.2.71.jpg	6.882	350.525
p6.2.91.jpg	-90.000	40.000
p6.2.91.jpg	-90.000	50.000
p6.2.91.jpg	0.000	84.000
p6.2.91.jpg	-90.000	296.000
p6.2.91.jpg	0.000	196.000
p6.2.91.jpg	-90.000	378.000
p6.2.91.jpg	0.000	378.000
p6.2.91.jpg	-90.000	234.000
p6.2.91.jpg	0.000	310.000
p7.1.101.jpg	-94.086	56.143
p7.1.101.jpg	-103.241	69.857
p7.1.101.jpg	-13.241	69.857
p7.1.101.jpg	-101.750	255.351
p7.1.101.jpg	-9.866	186.762
p7.1.101.jpg	-95.802	375.926
p7.1.101.jpg	-6.080	339.912
p7.1.101.jpg	-93.453	232.422
p7.1.101.jpg	-1.685	204.088
p7.1.111.jpg	-90.000	50.000
p7.1.111.jpg	-88.091	60.033
p7.1.111.jpg	-3.814	60.133
p7.1.111.jpg	-94.185	246.658
p7.1.111.jpg	-4.044	198.494
p7.1.111.jpg	-97.172	304.381
p7.1.111.jpg	-8.246	278.883
p7.1.111.jpg	-96.776	203.421
p7.1.111.jpg	-6.033	247.370
p7.1.121.jpg	-87.397	44.045
p7.1.121.jpg	-92.936	78.102
p7.1.121.jpg	-5.528	62.290
p7.1.121.jpg	-95.816	217.117
p7.1.121.jpg	-4.497	178.550
p7.1.121.jpg	-95.528	311.448
p7.1.121.jpg	-3.576	288.562
p7.1.121.jpg	-98.643	252.872
p7.1.121.jpg	-7.245	237.899
p7.1.131.jpg	-90.000	46.000
p7.1.131.jpg	-96.710	102.703
p7.1.131.jpg	-7.907	72.691
p7.1.131.jpg	-96.582	209.380
p7.1.131.jpg	-7.289	173.401
p7.1.131.jpg	-99.203	362.668
p7.1.131.jpg	-6.888	300.167
p7.1.131.jpg	-97.933	246.357
p7.1.131.jpg	-7.125	241.868
p7.1.141.jpg	-94.399	52.154
p7.1.141.jpg	-88.755	92.022
p7.1.141.jpg	3.013	76.105
p7.1.141.jpg	-88.290	268.119
p7.1.141.jpg	1.146	200.040
