pond cross id treatment sex sl bd region size resid
13 7 91 P F 41.57 8.43 olf_size 2.08496373128453 -20.7007903568159
13 7 92 P F 42.09 8.81 olf_size 5.0914171695482 -10.7280133353958
13 7 94 P F 46.96 9.69 olf_size 6.67479362790898 -4.91507277255913
13 7 95 P M 45.71 9.83 olf_size 5.20500557991208 -11.6435887318288
13 7 97 P M 39.95 8.49 olf_size 4.26782092226644 -5.67322485520971
13 2 100 P M 46.98 10.08 olf_size 6.20609001770917 15.1783692635286
14 2 76 NP M 43.52 9.22 olf_size 6.30292614219788 35.8440606025474
14 2 77 NP M 47.02 9.47 olf_size 5.87434045141852 17.3810060952907
14 2 80 NP M 42.4 8.1 olf_size 3.69239871785312 6.8631058704688
14 2 82 NP F 48.86 10.19 olf_size 6.83299579541698 3.68751626541042
14 2 83 NP F 31.36 6.46 olf_size 4.87911180094014 2.57502253549138
14 2 84 NP F 34.03 6.59 olf_size 5.66559607553216 0.472835936516248
14 2 85 NP F 43.03 8.46 olf_size 4.36290850970069 13.232963404334
14 2 86 NP M 49.95 10 olf_size 8.03206080746877 17.9712661986816
14 2 88 NP F 42.51 8.51 olf_size 4.71242364175818 3.53991240258691
14 2 89 NP F 45.32 8.63 olf_size 5.87071422487057 5.0799182764027
14 2 90 NP F 38.87 7.63 olf_size 5.82654518375476 6.68028070608738
14 2 91 NP F 39.43 8.47 olf_size 6.27578632317904 11.9662399322802
14 2 93 NP F 43.57 8.95 olf_size 5.44949445061146 18.3652875927883
14 2 94 NP M 43.4 8.03 olf_size 5.01784829081385 8.50957991733573
14 2 95 NP M 40.1 8.14 olf_size 3.63885657952782 -7.16363756477999
14 2 97 NP F 42.45 8.69 olf_size 5.04159148400353 11.0334468627199
14 2 98 NP M 40.7 8.03 olf_size 4.07386206276323 10.8605031426717
14 2 99 NP M 42.33 8.82 olf_size 5.14148433320035 -1.63404247833477
14 2 100 NP M 46.23 9.89 olf_size 6.3788333959447 -1.49624455591398
5 1 53 NP M 33.53 6.1 olf_size 4.07150407905237 6.61888444345024
5 1 54 NP F 27.91 5.39 olf_size 3.14487704590946 -5.40180509255779
5 1 56 NP M 28.05 5.66 olf_size 7.73745331577747 44.3673644027932
5 1 58 NP F 26.94 5.23 olf_size 5.50445007234677 11.1970361056278
5 1 61 NP M 37.97 6.69 olf_size 4.39537372170426 -6.9941599690461
5 1 64 NP M 26.05 5.77 olf_size 4.24138386207858 5.71606714306792
5 1 65 NP M 34.8 6.8 olf_size 2.0782402912035 -0.497776003419139
5 1 78 NP F 33.35 6.23 olf_size 3.03002291748837 -2.68455279103711
5 1 82 NP F 32.48 6.89 olf_size 2.49738799744962 -4.48841992382445
5 1 84 NP F 34.78 7.08 olf_size 3.72656789541747 -5.83882524854117
5 1 87 NP F 37.86 7.47 olf_size 4.50172228551506 -3.85346955632377
5 1 89 NP F 37.69 7.19 olf_size 5.03295377862176 6.00441728387682
5 1 91 NP F 42.89 8.75 olf_size 6.88680096580944 10.6689200311225
5 1 93 NP F 34.51 6.59 olf_size 3.13658417019286 -8.62641983290507
5 1 94 NP M 34.11 6.53 olf_size 3.48483709273553 -2.91606248759085
5 1 95 NP F 35.33 6.4 olf_size 3.56883801718279 -4.96212562907496
5 1 97 NP M 39.55 7.08 olf_size 2.86113024172347 -4.8713973146824
5 1 98 NP M 39.95 7.98 olf_size 5.19027018119332 11.6759399393395
5 1 99 NP M 37.63 6.89 olf_size 2.72517756328541 -4.6813103177108
5 1 100 NP M 36.41 6.41 olf_size 4.20504969209797 -3.96639905191965
6 6 52 NP M 30.89 5.96 olf_size 2.88969128373229 -7.97533457271672
6 6 54 NP F 30.6 6.35 olf_size 5.23228141145996 9.94296992092118
6 6 57 NP M 31.22 6.51 olf_size 3.7886321953204 -4.17265174189687
6 6 58 NP M 35.13 7.23 olf_size 2.34658675592853 -13.425046717473
6 6 64 NP M 44.26 9.49 olf_size 3.96658110432232 6.87873663294748
6 6 69 NP F 37.53 7.06 olf_size 4.44222914912756 8.07331424821151
6 6 72 NP M 35.74 7.47 olf_size 3.29546922767247 3.28437698268534
6 6 73 NP M 36.73 7.29 olf_size 4.27940728619208 0.916663783050142
6 6 75 NP F 28.91 6.07 olf_size 2.20588131827538 -2.90101115543502
6 6 76 NP F 35.24 7.1 olf_size 7.61677636788858 21.508067536589
6 6 77 NP F 42.91 8.68 olf_size 6.6723293932675 13.2504724004113
6 6 91 NP F 37.53 7.42 olf_size 5.18556655765109 5.25409223080785
6 6 92 NP F 42.89 8.22 olf_size 2.51131062746334 6.70915688315454
6 6 94 NP F 42 8.61 olf_size 2.48092511164146 -4.62469809038029
6 6 95 NP F 34.06 7.02 olf_size 3.10877065041963 -9.92977195394399
6 6 97 NP M 43.39 8.19 olf_size 5.23993139889627 4.62857598040494
6 6 98 NP M 35.95 7.03 olf_size 3.13365199413713 -2.51129192620228
6 6 99 NP F 39.34 7.7 olf_size 4.12246630785551 0.0710406965767169
6 6 100 NP M 39.78 7.61 olf_size 4.21002886806262 0.225164553609863
7 6 65 P F 35.27 6.86 olf_size 4.90615870643345 2.16591669448155
7 6 66 P M 43.89 8.9 olf_size 2.29360807404661 -15.4821004586183
7 6 67 P M 41.6 8.54 olf_size 4.26179561752287 9.26899917914436
7 6 68 P M 40.67 8.29 olf_size 3.76117362973996 -1.12960256670994
7 6 69 P M 43.51 8.52 olf_size 2.95107501454611 1.02888779781107
7 6 70 P M 44.67 9.81 olf_size 5.40385232908527 8.14489783100987
7 6 71 P F 36.16 7.09 olf_size 2.7469236927663 -2.93675082382283
7 6 74 P M 41.23 7.92 olf_size 3.7157003210613 -10.5705913759045
7 6 75 P M 47 9.55 olf_size 5.83039629499134 -3.34029039591982
7 6 83 P F 38.06 7.45 olf_size 5.90299279675172 0.334114070857012
7 6 84 P F 42.17 8.37 olf_size 3.82341839768461 0.0857627522254851
7 6 85 P F 45.45 9.07 olf_size 3.65849773333525 5.94170066031499
7 6 93 P F 39.14 7.9 olf_size 4.84957185959144 -0.171381796206914
7 6 94 P M 37.67 7.24 olf_size 5.40820127387779 -3.52076614536263
7 6 95 P F 40.19 7.85 olf_size 4.90081018237751 -6.4391239618891
7 6 96 P F 43.85 9.27 olf_size 4.49513274062638 11.1845820345017
7 6 97 P F 38.84 7.47 olf_size 4.22852882222143 -2.50986803461827
7 6 98 P F 39.64 7.93 olf_size 3.82229146127588 -1.27040897700938
7 6 99 P M 51.05 10.19 olf_size 5.4160198645896 6.27408893253593
8 4 51 NP M 30.37 5.6 olf_size 2.8140090432542 -7.72551374059224
8 4 52 NP M 36.1 6.56 olf_size 4.61292109882466 -2.09947849365784
8 4 58 NP M 37.42 7.8 olf_size 5.29771464236901 -5.88160230821143
8 4 63 NP M 35.71 6.43 olf_size 4.23931853693862 -11.1411597049546
8 4 64 NP F 32.1 5.64 olf_size 4.85051266464285 -7.2161137912106
8 4 66 NP M 32.58 6.14 olf_size 3.66852472712291 -1.29576180347532
8 4 69 NP F 37.47 7.3 olf_size 5.27175287213939 -2.67988743648326
8 4 73 NP M 41.37 7.95 olf_size 4.82762737379444 2.92939657953958
8 4 74 NP F 31.37 5.88 olf_size 2.11047706478657 -14.1909546831007
8 4 75 NP F 32.02 6.36 olf_size 3.95954281496742 -6.59884006699816
8 4 83 NP F 40.91 7.62 olf_size 3.0277053122396 4.71516186264674
8 4 84 NP F 35.25 7.45 olf_size 5.07656516802054 2.15293376782104
8 4 86 NP F 37.69 7.33 olf_size 5.99242616797655 10.6662556235619
8 4 87 NP F 40.69 7.51 olf_size 5.84666302025562 6.95450920536039
8 4 90 NP F 40.23 7.7 olf_size 5.48403289860004 12.5162444661244
8 4 91 NP M 43.72 8.75 olf_size 6.40663055388455 -0.0394020535690703
8 4 92 NP M 39.09 7.34 olf_size 4.68414176455225 4.38862192126145
8 4 93 NP F 37.65 6.92 olf_size 6.87102367342102 9.95311858883954
8 4 96 NP M 40.04 7.44 olf_size 4.39338705277756 1.32756581164974
8 4 97 NP F 40.54 7.89 olf_size 6.08193798134619 2.66168078633958
8 4 98 NP M 37.59 7.52 olf_size 6.54813816369031 -0.471818739089007
9 7 51 NP F 34.14 6.82 olf_size 3.13707749478091 -6.17263295778655
9 7 52 NP M 38.05 7.27 olf_size 4.89056829931853 -5.78644233556601
9 7 55 NP M 34.64 6.68 olf_size 4.02083056151454 -4.92070259241987
9 7 57 NP M 32.8 6.88 olf_size 4.55632973699909 -7.16104997950245
9 7 76 NP M 36.2 7.35 olf_size 4.61227303565343 -4.73378871588902
9 7 77 NP F 37.27 7.32 olf_size 4.78647366989207 -2.50544661613648
9 7 78 NP F 52.4 10.38 olf_size 5.01919290690894 -1.51972728903188
9 7 79 NP M 48 9.12 olf_size 2.49350409795392 -3.39420777762326
9 7 80 NP M 50.79 10.02 olf_size 2.91316827320964 -13.0624745332456
