pond family id treatment sex sl olf_size tele_size optic_size cere_size
10 1 2 P F 63.3 7.00646039821028 88.0515633283564 186.585667586948 117.16673543838
10 1 3 P F 59.4 5.22919460728499 82.5836155967581 179.976716219482 93.4794957611506
10 1 4 P M 57.5 10.7817550358926 112.756902705831 170.614879263488 121.782672867473
10 1 5 P F 57.5 11.0958646166096 97.2199454516403 185.459612505852 108.209693448829
10 1 6 P F 61.8 8.96743107229781 56.666227890461 138.316215087485 83.3750379806172
10 2 1 P M 57.6 6.02651896458995 100.951102800489 187.994875001476 114.236608799573
11 1 1 P M 55.9 9.22955072717338 71.6254799866076 126.874185959117 89.0876760958912
11 1 10 P M 60.5 5.58790709971748 100.583414783246 166.967684436459 117.02991964787
11 1 11 P M 56.4 10.8416243700614 82.5013541168446 150.868730356495 131.140915818376
11 1 13 P F 60.1 9.35549400819506 60.7933254203727 141.998847145882 95.4356622050607
11 1 14 P F 49.5 7.54829210401607 41.2913376975211 96.7816860887605 67.7541553959616
11 1 15 P F 48.2 5.60060059268351 48.0167640317363 122.336970359625 81.2787309921357
11 1 17 P F 61.9 7.50815499066685 60.7917867204078 129.604298864831 86.3855941771657
11 1 18 P M 51.5 9.35052674565102 86.5085870596196 144.992342378432 98.5371979226939
11 1 19 P M 47.1 7.80825340277821 75.8709376947221 130.93750192404 89.1032863556748
11 1 2 P M 51.9 9.65280062957862 51.3330272882862 124.032957421001 70.9172189292654
11 1 20 P M 50.3 6.53975830457887 72.3675834557633 144.099893971612 89.241362982984
11 1 22 P F 49 11.6534866865289 85.7901517445568 135.919714013959 83.9662698930495
11 1 3 P F 58.7 10.4863668645117 102.708170370037 215.597586334027 124.24682259006
11 1 4 P M 58.8 14.4005104544674 92.5336466270948 141.914647723196 106.628553028861
11 1 6 P F 57.1 8.66985908751059 71.3968823011818 169.285399225845 103.075501729827
11 1 8 P F 51.6 6.3831227478168 52.0073210361417 93.901730036199 69.1427690850332
11 1 9 P F 70.9 10.6973914634169 68.6245185570956 150.431293887198 101.336690905807
12 1 1 P F 54.5 5.86231855311766 51.9951029293997 131.788272237935 67.3641861378566
12 1 2 P M 56.7 9.64211944780084 70.7381790001929 147.071845868367 103.97405868095
12 1 3 P F 56.7 6.91430520327011 49.8736050648733 125.552102012628 79.7483329224358
12 1 4 P F 62.1 9.94066080268915 64.442809289078 172.544161938131 97.8242512330052
12 1 5 P NA 62.1 12.8901923285465 62.7330738738845 176.057212995492 91.1971334062293
12 1 6 P F 57.1 10.6055700337732 59.4874824070247 143.143223769527 96.9221821180482
12 1 9 P F 61.3 9.80151951242037 71.5104890223963 152.474400682251 105.436243195553
12 2 1 P M 50.9 6.27985644606855 82.4617214886928 177.001972540972 105.504511874552
12 2 2 P F 59.6 3.898225349433 75.6500209803385 158.216427186236 103.540809268427
12 2 3 P M 61.2 13.6847536198495 93.9748144719144 156.844942139695 92.7831186480312
13 1 1 P F 64.8 9.09998441181782 68.8337391222244 148.436064491942 95.9889647359496
13 1 2 P M 67.1 11.7026815554511 117.683946511229 246.705398383505 113.75112536915
13 1 3 P F 69.9 6.89199049969745 66.1116386235323 140.198738020623 94.4790680389562
13 1 4 P F 64.2 5.6154564918789 80.5585083059409 156.049540860693 111.353446904675
13 1 5 P F 43.34 5.24414717023606 42.3242343608625 103.086086033639 70.9035900308533
13 1 6 P F 70.75 6.24041457581932 89.247308269249 147.844974131387 128.55867758266
13 2 7 P M 56.66 6.51998096848832 77.8210803383506 148.388345791835 83.0234779724719
13 2 8 P M 62.35 7.08282212250645 107.03645100998 178.477790121179 124.6259256389
13 2 9 P F 56.9 8.84186434045152 71.723393300724 151.276747407218 74.0246472322055
5 1 1 NP M 48.8 4.74772371650671 63.4004371716302 133.779487165365 70.2495023927718
5 1 11 NP F 60.2 8.59539750022167 61.751145198961 192.692727000584 90.9000984760285
5 1 12 NP F 53 6.08683576633022 70.8930925544447 146.869456555323 90.7625752576176
5 1 13 NP F 46.7 6.28318530717959 51.4872129338327 137.341049670216 64.778986018552
5 1 14 NP M 49 7.12379286528298 87.3020815640429 188.246226465103 100.872906972407
5 1 15 NP F 54.6 11.1744776706281 68.2381942318245 160.351195270456 87.5159086051377
5 1 16 NP F 56.3 8.3089874208606 45.441125362836 129.479352968358 68.7948477901641
5 1 17 NP F 66.3 9.84175573371665 66.0165366743087 190.52853447748 103.452635505819
5 1 18 NP F 57.9 7.61247169872977 54.3598869961503 143.067877708005 78.6155941180018
5 1 19 NP M 56.1 9.93438734454081 80.3578059420501 174.621616017254 92.6154154474884
5 1 2 NP F 48.6 8.7408000147528 56.4707770376678 147.473109689174 81.2595008890302
5 1 2 NP F 48.6 8.7408000147528 56.4707770376678 147.473109689174 81.2595008890302
5 1 20 NP F 65.3 13.3419827945314 88.2359453740683 183.134794061566 131.554021022455
5 1 22 NP F 48.9 4.66463677205012 53.6232166855935 104.150079651809 66.3956757780281
5 1 3 NP M 52 7.54813660248134 71.585553584823 151.936685159624 86.1948502347869
5 1 3 NP M 52 7.54813660248134 71.585553584823 151.936685159624 86.1948502347869
5 1 4 NP M 52.2 8.60692532781005 82.2331349758865 202.944289064336 105.438080712629
5 1 4 NP M 52.2 8.60692532781005 82.2331349758865 202.944289064336 105.438080712629
5 1 5 NP F 55.2 7.98379951222199 68.2399070993403 164.070325423118 89.6132813542576
5 1 6 NP M 50.2 12.161215117789 96.9809652163169 211.232836045744 110.93749057989
5 1 7 NP F 55.9 7.6095696703255 83.6625612923483 211.794958430286 92.1461727424982
