sex,ind
0,F3_P7_57
0,F3_P7_58
0,F3_P7_59
1,F3_P7_60
1,F3_P7_61
1,F3_P7_62
1,F3_P7_63
1,F3_P7_64
0,F3_P7_65
1,F3_P7_66
1,F3_P7_67
1,F3_P7_68
1,F3_P7_69
1,F3_P7_70
0,F3_P7_71
0,F3_P7_72
1,F3_P7_73
1,F3_P7_74
1,F3_P7_75
1,F3_P7_76
1,F3_P7_77
0,F3_P7_78
1,F3_P7_79
1,F3_P7_80
1,F3_P7_81
1,F3_P7_82
0,F3_P7_83
0,F3_P7_84
0,F3_P7_85
1,F3_P7_86
1,F3_P7_87
1,F3_P7_88
1,F3_P7_89
1,F3_P7_90
1,F3_P7_91
1,F3_P7_92
0,F3_P7_93
1,F3_P7_94
0,F3_P7_95
0,F3_P7_96
0,F3_P7_97
0,F3_P7_98
1,F3_P7_99
1,F3_P8_100
1,F3_P8_51
1,F3_P8_52
0,F3_P8_54
0,F3_P8_55
0,F3_P8_56
0,F3_P8_57
1,F3_P8_58
1,F3_P8_59
0,F3_P8_60
0,F3_P8_61
1,F3_P8_62
1,F3_P8_63
0,F3_P8_64
0,F3_P8_65
1,F3_P8_66
1,F3_P8_67
0,F3_P8_69
1,F3_P8_70
1,F3_P8_71
0,F3_P8_72
1,F3_P8_73
0,F3_P8_74
0,F3_P8_75
1,F3_P8_76
0,F3_P8_77
1,F3_P8_78
1,F3_P8_79
0,F3_P8_80
0,F3_P8_81
1,F3_P8_82
0,F3_P8_83
0,F3_P8_84
1,F3_P8_85
0,F3_P8_86
0,F3_P8_87
1,F3_P8_88
1,F3_P8_89
0,F3_P8_90
1,F3_P8_91
1,F3_P8_92
0,F3_P8_93
1,F3_P8_94
0,F3_P8_95
1,F3_P8_96
0,F3_P8_97
1,F3_P8_98
0,F3_P8_99
1,F3_P9_100
0,F3_P9_51
1,F3_P9_52
0,F3_P9_53
0,F3_P9_54
1,F3_P9_55
1,F3_P9_56
1,F3_P9_57
1,F3_P9_58
1,F3_P9_59
1,F3_P9_60
0,F3_P9_61
1,F3_P9_62
1,F3_P9_63
1,F3_P9_64
1,F3_P9_65
1,F3_P9_66
0,F3_P9_67
1,F3_P9_68
1,F3_P9_69
1,F3_P9_70
1,F3_P9_71
1,F3_P9_72
0,F3_P9_73
0,F3_P9_74
1,F3_P9_75
1,F3_P9_76
0,F3_P9_77
0,F3_P9_78
1,F3_P9_79
1,F3_P9_80
0,F3_P9_81
1,F3_P9_82
1,F3_P9_83
1,F3_P9_84
1,F3_P9_85
1,F3_P9_86
0,F3_P9_87
1,F3_P9_88
1,F3_P9_89
1,F3_P9_90
0,F3_P9_91
0,F3_P9_92
1,F3_P9_93
0,F3_P9_94
0,F3_P9_95
0,F3_P9_96
1,F3_P9_97
0,F3_P9_98
1,F3_P9_99
