pond family id treatment sex sl region size
7 1 8 P F 47.2 olf_size 8.72764173850837
7 1 9 P F 49.52 olf_size 10.6470025951859
7 2 1 P F 64.1 olf_size 10.6047500570073
7 2 10 P M 58.32 olf_size 7.01274997939133
7 2 2 P M 60.97 olf_size 9.59876763755725
7 2 7 P F 57.62 olf_size 5.12283838045637
7 2 8 P F 55.04 olf_size 5.37911221276947
7 2 9 P F 58.44 olf_size 7.51383852352704
7 3 3 P F 61.48 olf_size 12.0468458695701
8 1 1 NP F 71.4 olf_size 8.12824597847383
8 1 11 NP F 65.8 olf_size 10.6362158006983
8 1 12 NP F 64.78 olf_size 10.6337930868061
8 1 13 NP M 59 olf_size 8.80689349693458
8 1 14 NP M 55.92 olf_size 4.80444279931032
8 1 16 NP F 54.58 olf_size 9.60827234392421
8 1 2 NP F 60.69 olf_size 9.0123467549937
8 1 3 NP M 60.1 olf_size 8.77171200893158
8 1 4 NP M 49.16 olf_size 4.89365530360602
8 1 5 NP F 51.25 olf_size 5.94067937361284
8 1 7 NP F 59.26 olf_size 6.42204836675871
8 1 8 NP M 61.61 olf_size 14.0746076584739
8 1 9 NP F 67.75 olf_size 11.4683904399559
8 2 1 NP F 54.76 olf_size 6.14493083195798
8 2 10 NP M 56.9 olf_size 4.81805702904215
8 2 11 NP M 58.85 olf_size 7.14650523173957
8 2 2 NP F 65.91 olf_size 6.1768210603351
8 2 3 NP F 55.23 olf_size 3.44446536429212
8 2 4 NP F 60.52 olf_size 7.02925475375556
8 2 5 NP M 54.62 olf_size 8.38478633702988
8 2 6 NP M 56 olf_size 5.9194823818465
8 2 8 NP M 56.16 olf_size 9.85712457007494
8 2 9 NP F 57.81 olf_size 8.62077064038293
9 1 1 NP F 51.2 olf_size 4.15432761492037
9 1 10 NP M 50.61 olf_size 6.68133854279079
9 1 11 NP F 55.6 olf_size 4.99397426520503
9 1 12 NP F 53.4 olf_size 4.51934425334397
9 1 13 NP M 49.54 olf_size 4.27352866704767
9 1 15 NP F 64.86 olf_size 7.92113641118647
9 1 16 NP M 49.8 olf_size 5.00758005584247
9 1 3 NP M 56.38 olf_size 3.93715395078793
9 1 4 NP F 62.56 olf_size 9.1594736790604
9 1 6 NP F 54.85 olf_size 6.36040926125126
9 1 7 NP M 56.7 olf_size 7.66631041203852
9 1 8 NP F 53.54 olf_size 9.32942809552975
9 1 9 NP M 50.63 olf_size 6.47794906411024
9 2 10 NP M 58.86 olf_size 10.4854966596191
9 2 13 NP M 69.35 olf_size 6.56399708702127
9 2 14 NP M 71.19 olf_size 8.9505678956593
9 2 15 NP F 64.5 olf_size 9.60730508781679
9 2 16 NP F 68.6 olf_size 7.6040504850889
9 2 17 NP F 52.1 olf_size 6.44495143277487
9 2 18 NP F 70.64 olf_size 6.62270188303593
9 2 182 NP NA NA olf_size 4.5036478947777
9 2 20 NP M 58.73 olf_size 8.41029677002603
9 2 21 NP M 58.63 olf_size 8.50047885968275
9 2 212 NP NA NA olf_size 6.87536200676649
9 2 3 NP F 60.41 olf_size 6.86898649933086
9 2 4 NP NA 57.55 olf_size 8.19054036356923
9 2 6 NP M 53.5 olf_size 6.30831400203697
9 2 7 NP F 61.96 olf_size 11.3833377239792
9 2 8 NP F 61.64 olf_size 9.81537566693913
9 2 9 NP M 58.27 olf_size 9.80057732859339
10 1 2 P F 63.3 tele_size 88.0515633283564
10 1 3 P F 59.4 tele_size 82.5836155967581
10 1 4 P M 57.5 tele_size 112.756902705831
10 1 5 P F 57.5 tele_size 97.2199454516403
10 1 6 P F 61.8 tele_size 56.666227890461
10 2 1 P M 57.6 tele_size 100.951102800489
11 1 1 P M 55.9 tele_size 71.6254799866076
11 1 10 P M 60.5 tele_size 100.583414783246
11 1 11 P M 56.4 tele_size 82.5013541168446
11 1 13 P F 60.1 tele_size 60.7933254203727
11 1 14 P F 49.5 tele_size 41.2913376975211
11 1 15 P F 48.2 tele_size 48.0167640317363
11 1 17 P F 61.9 tele_size 60.7917867204078
11 1 18 P M 51.5 tele_size 86.5085870596196
11 1 19 P M 47.1 tele_size 75.8709376947221
11 1 20 P M 50.3 tele_size 72.3675834557633
11 1 22 P F 49 tele_size 51.3330272882862
11 1 222 P NA NA tele_size 85.7901517445568
11 1 3 P F 58.7 tele_size 102.708170370037
11 1 4 P M 58.8 tele_size 92.5336466270948
11 1 6 P F 57.1 tele_size 71.3968823011818
11 1 8 P F 51.6 tele_size 52.0073210361417
11 1 9 P F 70.9 tele_size 68.6245185570956
12 1 1 P F 54.5 tele_size 51.9951029293997
12 1 2 P M 56.7 tele_size 70.7381790001929
12 1 3 P F 56.7 tele_size 49.8736050648733
12 1 4 P F 62.1 tele_size 64.442809289078
12 1 5 P NA 62.1 tele_size 62.7330738738845
12 1 6 P F 57.1 tele_size 59.4874824070247
12 1 9 P F 61.3 tele_size 71.5104890223963
12 2 1 P M 50.9 tele_size 82.4617214886928
12 2 2 P F 59.6 tele_size 75.6500209803385
12 2 3 P M 61.2 tele_size 93.9748144719144
13 1 1 P F 64.8 tele_size 68.8337391222244
13 1 2 P M 67.1 tele_size 117.683946511229
13 1 3 P F 69.9 tele_size 66.1116386235323
13 1 4 P F 64.2 tele_size 80.5585083059409
13 1 5 P F 43.34 tele_size 42.3242343608625
13 1 6 P F 70.75 tele_size 89.247308269249
13 2 7 P M 56.66 tele_size 77.8210803383506
13 2 8 P M 62.35 tele_size 107.03645100998
13 2 9 P F 56.9 tele_size 71.723393300724
5 1 1 NP M 48.8 tele_size 63.4004371716302
5 1 11 NP F 60.2 tele_size 61.751145198961
5 1 12 NP F 53 tele_size 70.8930925544447
5 1 13 NP F 46.7 tele_size 51.4872129338327
5 1 14 NP M 49 tele_size 87.3020815640429
5 1 15 NP F 54.6 tele_size 68.2381942318245
5 1 16 NP F 56.3 tele_size 45.441125362836
5 1 17 NP F 66.3 tele_size 66.0165366743087
5 1 18 NP F 57.9 tele_size 54.3598869961503
5 1 19 NP M 56.1 tele_size 80.3578059420501
5 1 2 NP F 48.6 tele_size 56.4707770376678
5 1 2 NP F 48.6 tele_size 56.4707770376678
5 1 20 NP F 65.3 tele_size 88.2359453740683
5 1 22 NP F 48.9 tele_size 53.6232166855935
5 1 3 NP M 52 tele_size 71.585553584823
5 1 3 NP M 52 tele_size 71.585553584823
5 1 4 NP M 52.2 tele_size 82.2331349758865
5 1 4 NP M 52.2 tele_size 82.2331349758865
5 1 5 NP F 55.2 tele_size 68.2399070993403
5 1 6 NP M 50.2 tele_size 96.9809652163169
5 1 7 NP F 55.9 tele_size 83.6625612923483
5 1 8 NP M 49.7 tele_size 78.0486703152371
5 1 9 NP M 58 tele_size 83.2815287714252
5 2 1 NP F 58.53 tele_size 65.1089667281486
5 2 10 NP F 62.04 tele_size 68.1868699732555
5 2 11 NP F 59.98 tele_size 52.2621172852756
5 2 12 NP M 59.56 tele_size 113.902206374367
5 2 13 NP F 54.77 tele_size 74.0776171599041
5 2 14 NP F 59.14 tele_size 71.3497885179363
5 2 15 NP M 55.28 tele_size 80.1920977259922
5 2 16 NP M 59.78 tele_size 99.0806405981892
