pond cross id treatment sex sl region size resid type
wild lim 13 wild F 3.537102739 olf_size 3.80216767254136 -16.9189335931032 wild
wild lim 15 wild M 3.93897024 olf_size 4.68743006763288 12.6499362972406 wild
wild lim 14 wild M 4.480141066 olf_size 3.2626862236549 8.13771349368665 wild
wild lim 13 wild M 4.635882716 olf_size 3.72132071799554 4.04324577456186 wild
wild lim 12 wild M 4.455497994 olf_size 3.97877132829594 9.58915258514783 wild
wild lim 11 wild M 4.333571975 olf_size 3.05942976316773 2.83442494908869 wild
wild ben 10 wild M 5.474333333 olf_size 3.46345225136063 9.04644974278436 wild
wild ben 9 wild M 5.481980769 olf_size 5.17412066321566 17.8768890038688 wild
wild ben 8 wild M 5.135423543 olf_size 5.47281193985495 5.05984118321182 wild
wild ben 7 wild M 4.888881203 olf_size 2.84588762414551 -3.78241236883142 wild
wild ben 6 wild M 5.137254902 olf_size 4.55040723885328 9.9753988843765 wild
wild ben 1 wild F 4.836800444 olf_size 6.69120887287071 -11.3506014521448 wild
wild ben 2 wild F 5.336580247 olf_size 6.9947885019527 15.4824972857195 wild
wild ben 3 wild F 5.105316831 olf_size 5.11139048135096 -9.09096982310051 wild
wild ben 4 wild F 5.036203619 olf_size 5.73982249000548 0.942821234080825 wild
wild ben 5 wild F 6.699401239 olf_size 3.85873024706999 -4.47377459462486 wild
wild ben 6 wild F 5.773233918 olf_size 3.99011417282732 -4.26073417615418 wild
wild ben 8 wild F 5.637868852 olf_size 5.18313150737093 4.3026849710856 wild
wild ben 9 wild F 6.335516084 olf_size 3.9727757589044 3.5880942041475 wild
wild ben 10 wild F 6.385271776 olf_size 4.85888163633724 -4.83522550445409 wild
wild ben 11 wild M 5.271157576 olf_size 5.21267326791657 4.94573568826811 wild
wild ben 12 wild M 4.632543426 olf_size 4.78085142149201 14.4077374716155 wild
wild ben 13 wild M 7.328276042 olf_size 4.96540553184154 -1.61134121142987 wild
wild ben 14 wild M 6.638488506 olf_size 6.09500194109134 -3.38573977355859 wild
wild ben 15 wild M 4.925301075 olf_size 2.7659667097141 -10.8870083933594 wild
wild ben 11 wild F 6.497584906 olf_size 4.84397665565793 -19.8485570355648 wild
wild ben 12 wild F 5.906647059 olf_size 4.44604065312834 -2.89645284343168 wild
wild ben 13 wild F 5.346025418 olf_size 3.11223275264691 -5.94216140365141 wild
wild ben 14 wild F 5.086246493 olf_size 2.71377219673565 -18.2479023594158 wild
wild ben 5 wild M 5.310410318 olf_size 5.30566578505869 -3.40170483767865 wild
wild ben 4 wild M 5.577535981 olf_size 3.90092182452331 -13.0641500727126 wild
wild ben 3 wild M 5.258956989 olf_size 3.18791374660531 12.1142193206336 wild
wild ben 2 wild M 4.951081581 olf_size 4.60019323411781 20.1077861731806 wild
