pond	cross	id	sex	treatment	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	sl	bd
12	2	91	1	P	24.331	40.311	30.15	97.494	73.824	163.689	128.996	102.825	101.435	44.65	8.66
12	2	92	1	P	32.062	42.107	32.016	84.345	60.671	131.746	116.297	80.306	79.906	36.79	6.95
12	2	93	0	P	31.064	29.614	24.021	110.549	78.23	162.003	146.24	102.313	99.045	47.05	9.85
12	2	94	1	P	30.15	29.614	29.411	102.591	74.947	153.222	130.419	93.059	102.421	45.91	8.59
12	2	96	1	P	33	37.054	28.018	103.005	74.007	160.012	131.061	105.043	101.005	51.61	9.37
12	2	100	1	P	23.087	27.857	26.926	76.694	57.775	136.682	121.758	88.6	80.654	37.64	7.09
13	7	54	0	P	26	30.15	26.306	93.263	65.924	131.746	116.966	86.023	94.26	38.7	7.96
13	7	58	0	P	26	32.062	27	77.414	67.742	137.873	119.604	82.735	84.593	38.18	8.13
13	7	61	0	P	26.019	30.067	21.213	76	63	129.016	115.004	76.059	83.024	39.22	7.57
13	7	64	1	P	23.022	28.018	30.017	81.394	63.127	131.187	117.273	77.058	78.026	35.13	7.19
13	7	67	0	P	29	30	20.025	78.026	58.078	126.036	105.171	68.007	62.008	30.98	6.16
13	7	69	1	P	29.017	29.275	25.318	85.094	73.682	147.363	122.332	100.045	85.053	44.64	9.51
13	7	71	1	P	27.019	36.014	31.016	92.195	82.024	145.031	122.004	86.093	91.022	43.14	9.17
13	7	79	1	P	31.016	28.16	26	81.498	55.579	121.004	107.671	72.028	69.065	62.37	12.67
13	7	80	0	P	28.018	17.029	22	108.342	91.548	156	144.087	101	98.005	46.61	9.71
13	7	81	0	P	29	35.903	22.091	86.579	62.201	133.989	121.334	76.531	82.608	40.39	7.83
13	7	82	1	P	29	39.319	27.659	84.172	65.97	136.195	114.477	90.67	76.295	41.42	8.61
13	7	84	1	P	28.018	26.077	28.018	84.095	56.143	126.02	110.114	70.349	73.11	36.15	7.15
13	7	88	1	P	32.016	20.616	29.614	113.6	91.924	175.482	154.149	104.48	106.301	55.64	11.56
13	7	89	1	P	31.016	35.355	30.806	106.471	88.204	150.213	138.051	102.122	104.389	55.08	11.26
13	7	91	0	P	31.016	30.265	21.095	88.459	64.537	134.082	115.278	76.059	76	41.57	8.43
13	7	92	0	P	27	39.294	30.067	83.726	72.035	136.62	129.869	85.288	79.63	42.09	8.81
13	7	94	0	P	25	41	32.388	97.082	72.691	141.905	135.37	87.464	88.685	46.96	9.69
13	7	95	1	P	26	35	32	90.05	70.029	141.128	127.016	82.024	82	45.71	9.83
13	7	97	1	P	25.02	30.067	28.284	78.102	60.208	128.133	112.285	81.154	80.056	39.95	8.49
13	7	100	1	P	23	36.014	29.017	94	70.007	130.015	128.062	107.005	93	46.98	10.08
14	2	76	1	NP	21	30.083	29.411	103.325	67.357	158.521	137.244	113.508	95.21	43.52	9.22
14	2	77	1	NP	22	30.15	30.017	98.311	74.673	153	138.611	100.404	94.112	47.02	9.47
14	2	80	1	NP	24	26.019	26.019	92.136	67.007	153.013	122	97.021	89.022	42.4	8.1
14	2	82	0	NP	24.021	38.013	33.015	105.119	77.026	163.11	135.033	98.005	92.049	48.86	10.19
14	2	83	0	NP	22.091	27	28.071	74.027	46.098	115.07	104.12	81	65.123	31.36	6.46
14	2	84	0	NP	23	33.541	28.443	75.06	56.089	121.926	100.02	73.246	78.16	34.03	6.59
14	2	85	0	NP	23	29.017	25.318	96.187	72.339	155.048	125.399	95.258	95.425	43.03	8.46
14	2	86	1	NP	22.023	36.222	34.234	96.509	68.731	151.003	140.73	99.985	99.247	49.95	10
14	2	88	0	NP	22	25.02	29.017	100.08	79.101	149.013	129.016	90.089	75.027	42.51	8.51
14	2	89	0	NP	24	32.249	33.377	103.247	66.483	154.302	136.499	94.763	92.228	45.32	8.63
14	2	90	0	NP	22.023	31	29.017	88	63	136.132	124.004	83.006	82.006	38.87	7.63
14	2	91	0	NP	24.083	33.377	34.713	101.119	76.903	148.486	132.458	95.635	96.187	39.43	8.47
14	2	93	0	NP	24	35.128	28.443	100.404	79.63	156.003	143.349	107.019	102.02	43.57	8.95
14	2	94	1	NP	23	29.275	28.862	81.216	73.98	145.523	124.68	92.439	90.272	43.4	8.03
14	2	95	1	NP	26	29	27	93	65.031	142.032	123	84.006	80.006	40.1	8.14
14	2	97	0	NP	24	29.275	31.575	100.319	68.593	149.013	126.016	95.021	99.02	42.45	8.69
14	2	98	1	NP	26	30.067	29.155	99.408	77.026	158.382	130.188	109.073	98.127	40.7	8.03
14	2	99	1	NP	25.02	36.222	28.284	88.843	74.148	150.207	130.25	91.444	84.012	42.33	8.82
14	2	100	1	NP	26	39.459	34.785	96.047	79.63	153.883	137.463	94.541	95.189	46.23	9.89
5	1	53	1	NP	25	30	27	91	65	139	117	76.026	104	33.53	6.1
5	1	54	0	NP	22	22	22.023	77.058	49.01	108.042	88.051	55.009	65.008	27.91	5.39
5	1	56	1	NP	22	36.056	33.061	103.586	76.538	129.004	137.266	104.69	107.564	28.05	5.66
5	1	58	0	NP	22	29.614	28.636	85.288	56.886	126.321	107.28	68.118	88.278	26.94	5.23
5	1	61	1	NP	22	27	25.08	78.409	55.317	116.4	112.792	60.008	76.236	37.97	6.69
5	1	64	1	NP	25	31.623	26.683	87.801	65.734	135.366	116.902	79.63	82.037	26.05	5.77
5	1	65	1	NP	24	20.396	18.682	85.376	50.448	129.314	111.647	74.061	83.295	34.8	6.8
5	1	78	0	NP	24	25.02	22.204	78.102	57.706	120.037	116.004	74.061	75	33.35	6.23
5	1	82	0	NP	23	21	20.025	75.107	50.636	109.115	122.066	65	72	32.48	6.89
5	1	84	0	NP	23	25.02	25.08	88.204	59.034	110.005	121	69.029	69.007	34.78	7.08
5	1	87	0	NP	24	33.015	25	86.093	68.029	126.004	121.066	79	76	37.86	7.47
5	1	89	0	NP	22.023	29.12	26.683	62.29	81.253	128	105.342	82.735	79.246	37.69	7.19
5	1	91	0	NP	24	37.121	34.015	76.655	86.585	144.17	145.417	95	99.02	42.89	8.75
5	1	93	0	NP	25.02	26.019	24.021	94.34	58.034	135.624	103.078	68.029	74.061	34.51	6.59
5	1	94	1	NP	24.021	26.306	24.331	70.831	53.6	122.147	101.124	74.027	76.105	34.11	6.53
5	1	95	0	NP	23.022	26.926	22.361	77.104	56.223	120.071	92.022	71.176	70.178	35.33	6.4
5	1	97	1	NP	25	27.074	21.024	86.052	66.068	139.291	109.836	80.056	82.219	39.55	7.08
5	1	98	1	NP	22.023	30.265	26.476	86.885	66.708	139.832	123.665	82.873	93.059	39.95	7.98
5	1	99	1	NP	25	20.025	27.074	87.298	66.287	127.424	113.952	77.233	81.744	37.63	6.89
5	1	100	1	NP	24	26.476	29.12	82.765	63.348	134.172	115.521	75.802	76.118	36.41	6.41
6	6	52	1	NP	25.02	26.173	22	78.16	57.035	115.278	106.794	62.008	74.007	30.89	5.96
6	6	54	0	NP	24.021	31	31	92.087	71.007	149.566	129	84.024	89	30.6	6.35
