pond family id treatment sex sl region size resid
10 1 2 P F 63.3 olf_size 7.00646039821028 14.0925047874942
10 1 3 P F 59.4 olf_size 5.22919460728499 -4.24525855719921
10 1 4 P M 57.5 olf_size 10.7817550358926 26.6640736854864
10 1 5 P F 57.5 olf_size 11.0958646166096 13.0910942668427
10 1 6 P F 61.8 olf_size 8.96743107229781 -17.6417017731394
10 2 1 P M 57.6 olf_size 6.02651896458995 18.9808435577783
11 1 1 P M 55.9 olf_size 9.22955072717338 -3.83626612915723
11 1 10 P M 60.5 olf_size 5.58790709971748 17.7963386716258
11 1 11 P M 56.4 olf_size 10.8416243700614 37.5311432942842
11 1 13 P F 60.1 olf_size 9.35549400819506 -3.24925453194953
11 1 14 P F 49.5 olf_size 7.54829210401607 -16.3911590013356
11 1 15 P F 48.2 olf_size 5.60060059268351 -1.08342462764953
11 1 17 P F 61.9 olf_size 7.50815499066685 -14.7683116363995
11 1 18 P M 51.5 olf_size 9.35052674565102 11.6485623292245
11 1 19 P M 47.1 olf_size 7.80825340277821 8.2499573937844
11 1 2 P M 51.9 olf_size 9.65280062957862 -16.5200809034385
11 1 20 P M 50.3 olf_size 6.53975830457887 3.99872010721797
11 1 22 P F 49 olf_size 11.6534866865289 0.506785794795374
11 1 3 P F 58.7 olf_size 10.4863668645117 27.4822306903704
11 1 4 P M 58.8 olf_size 14.4005104544674 9.72679506936276
11 1 6 P F 57.1 olf_size 8.66985908751059 8.50556678707516
11 1 8 P F 51.6 olf_size 6.3831227478168 -17.8830325682449
11 1 9 P F 70.9 olf_size 10.6973914634169 -12.1621602905335
12 1 1 P F 54.5 olf_size 5.86231855311766 -23.6394312498712
12 1 2 P M 56.7 olf_size 9.64211944780084 9.95278797743277
12 1 3 P F 56.7 olf_size 6.91430520327011 -14.2729377810816
12 1 4 P F 62.1 olf_size 9.94066080268915 -3.60398670017725
12 1 5 P NA 62.1 olf_size 12.8901923285465 -10.2311045269532
12 1 6 P F 57.1 olf_size 10.6055700337732 2.35224717529643
12 1 9 P F 61.3 olf_size 9.80151951242037 5.10533374083901
12 2 1 P M 50.9 olf_size 6.27985644606855 19.4388726399341
12 2 2 P F 59.6 olf_size 3.898225349433 5.54172283045987
12 2 3 P M 61.2 olf_size 13.6847536198495 -7.41062474687379
13 1 1 P F 64.8 olf_size 9.09998441181782 -9.14275681206546
13 1 2 P M 67.1 olf_size 11.7026815554511 5.46458444553684
13 1 3 P F 69.9 olf_size 6.89199049969745 -17.6481225592981
13 1 4 P F 64.2 olf_size 5.6154564918789 7.04472171551203
13 1 5 P F 43.34 olf_size 5.24414717023606 -4.79229508223332
13 1 6 P F 70.75 olf_size 6.24041457581932 15.2655754760326
13 2 7 P M 56.66 olf_size 6.51998096848832 -10.9429263071219
13 2 8 P M 62.35 olf_size 7.08282212250645 22.8547725561963
13 2 9 P F 56.9 olf_size 8.84186434045152 -20.2709555909291
5 1 1 NP M 48.8 olf_size 4.74772371650671 -12.9356495858651
5 1 11 NP F 60.2 olf_size 8.59539750022167 -7.92198432079031
5 1 12 NP F 53 olf_size 6.08683576633022 1.81644876701898
5 1 13 NP F 46.7 olf_size 6.28318530717959 -15.525678704104
5 1 14 NP M 49 olf_size 7.12379286528298 17.4134228741529
5 1 15 NP F 54.6 olf_size 11.1744776706281 -3.62487484239879
5 1 16 NP F 56.3 olf_size 8.3089874208606 -24.6777586741188
5 1 17 NP F 66.3 olf_size 9.84175573371665 -3.73657693932555
5 1 18 NP F 57.9 olf_size 7.61247169872977 -17.0516693032189
5 1 19 NP M 56.1 olf_size 9.93438734454081 -0.582858897177241
5 1 2 NP F 48.6 olf_size 8.7408000147528 -1.65131896998945
5 1 2 NP F 48.6 olf_size 8.7408000147528 -1.65131896998945
5 1 20 NP F 65.3 olf_size 13.3419827945314 25.736469175397
5 1 22 NP F 48.9 olf_size 4.66463677205012 -16.9266422604174
5 1 3 NP M 52 olf_size 7.54813660248134 -1.37961565772563
5 1 3 NP M 52 olf_size 7.54813660248134 -1.37961565772563
5 1 4 NP M 52.2 olf_size 8.60692532781005 17.5892827004996
5 1 4 NP M 52.2 olf_size 8.60692532781005 17.5892827004996
5 1 5 NP F 55.2 olf_size 7.98379951222199 -2.35049845213051
5 1 6 NP M 50.2 olf_size 12.161215117789 25.8320137639321
5 1 7 NP F 55.9 olf_size 7.6095696703255 -0.777769482550275
5 1 8 NP M 49.7 olf_size 5.49341783572349 2.44980324136496
5 1 9 NP M 58 olf_size 9.41648819535446 41.2665068506961
5 2 1 NP F 58.53 olf_size 10.4318523566133 -4.9966987948783
5 2 10 NP F 62.04 olf_size 5.35317052688195 6.72041112133595
5 2 11 NP F 59.98 olf_size 8.67510720545323 -7.4840592220121
5 2 12 NP M 59.56 olf_size 9.85317695898617 15.5425691499314
5 2 13 NP F 54.77 olf_size 9.77725856372744 24.9659319074373
5 2 14 NP F 59.14 olf_size 7.34922923509306 -9.9617673748087
5 2 15 NP M 55.28 olf_size 9.32888302668012 15.5605902478932
5 2 16 NP M 59.78 olf_size 12.710763549208 30.2446197608698
5 2 17 NP M 58.51 olf_size 10.8738794581601 35.4684939937613
5 2 18 NP M 62.19 olf_size 12.7016630374596 14.0418764824109
5 2 19 NP F 57.33 olf_size 8.93147002342883 9.78684230881431
5 2 2 NP M 52.95 olf_size 8.59469759592085 0.513576888469976
5 2 20 NP F 51.11 olf_size 10.7729480714385 17.6871608517495
5 2 21 NP F 55.83 olf_size 12.9864081708682 1.63280115103252
5 2 22 NP F 56.72 olf_size 12.5811999134318 9.13366969525654
5 2 23 NP F 56.72 olf_size 10.6882743629088 9.30326742654321
5 2 24 NP F 56.62 olf_size 8.60051352150129 19.161354770256
5 2 25 NP F 62.05 olf_size 9.49222483941287 9.93622337868598
5 2 3 NP F 48.01 olf_size 9.95738144531075 -8.55971207893321
5 2 4 NP M 54.93 olf_size 9.15008960011495 17.0383854085723
5 2 6 NP M 62.49 olf_size 12.8375084021578 -2.29321713850049
6 1 1 NP F 59.3 olf_size 17.7279152553203 20.9319470655587
6 2 1 NP M 58 olf_size 14.829042443427 32.4500195725602
6 2 10 NP M 54.8 olf_size 8.13572904536531 -7.47028817275037
6 2 11 NP M 53.1 olf_size 13.0690126176612 13.3879391343146
6 2 12 NP M 58.8 olf_size 9.90830528816312 9.6479442180631
6 2 13 NP F 57.4 olf_size 7.15024112461647 21.0752798049637
6 2 14 NP M 55.8 olf_size 14.0698354102009 10.1205310261884
6 2 15 NP M 60.3 olf_size 8.49360978343136 -12.4339310459213
