pond cross id treatment sex sl bd region size
9 7 89 NP M 47.66 10.01 olf_size 3.39938782439988
9 7 91 NP F 48.17 10.28 olf_size 2.48579974063095
9 7 92 NP F 60.53 13.18 olf_size 7.57028542245355
9 7 94 NP F 51.8 11.4 olf_size 3.27249234748937
9 7 95 NP F 55.24 11.47 olf_size 5.97310546387383
9 7 96 NP F 50.54 10.81 olf_size 3.05868967561098
9 7 98 NP F 35.26 7.18 olf_size 3.11035883894107
9 7 100 NP M 37.05 7.09 olf_size 3.43182669913047
10 4 79 P M 47.19 8.92 tele_size 40.4331288750872
10 4 81 P M 37.48 7.22 tele_size 27.9916890123496
10 4 82 P F 44.47 9.4 tele_size 41.573093889379
10 4 83 P F 44.95 8.51 tele_size 39.3420114441905
10 4 84 P F 36.91 7.93 tele_size 29.2147040296887
10 4 85 P M 38.08 7.53 tele_size 31.4617490826581
10 4 86 P M 34.77 7.29 tele_size 31.8901393223424
10 4 88 P M 43.34 8.29 tele_size 30.2000399454363
10 4 89 P F 32.37 6.44 tele_size 30.212471269326
10 4 90 P F 37.25 7.65 tele_size 32.6332118768553
10 4 91 P M 35.26 7.38 tele_size 31.8650411252054
10 4 92 P M 39.25 7.53 tele_size 30.6632008924646
10 4 94 P F 41.55 8.19 tele_size 36.719279806161
10 4 95 P F 40.27 7.49 tele_size 38.8802896702589
10 4 96 P M 37.81 7.86 tele_size 29.6612846978888
10 4 97 P M 36.1 6.82 tele_size 18.3864815142025
10 4 98 P F 36.78 7.33 tele_size 27.0634498702154
10 4 99 P F 44.55 9.37 tele_size 34.548861015852
10 4 100 P F 42.66 8.85 tele_size 37.9402122071924
11 1 58 P F 33.23 6.6 tele_size 23.7495219716809
11 1 62 P F 33.2 6.43 tele_size 22.4194919068246
11 1 66 P M 51.18 10.71 tele_size 19.4044151400285
11 1 76 P M 47.21 8.97 tele_size 35.5594363272383
11 1 77 P M 39.29 7.81 tele_size 32.9456271714987
11 1 80 P M 51.64 10.55 tele_size 36.7761206562793
11 1 87 P M 40.35 8.02 tele_size 35.9910089557273
11 1 88 P M 38.05 8.11 tele_size 19.4088194546464
11 1 89 P M 34.13 7.13 tele_size 21.3754677417446
11 1 90 P F 37.76 7.95 tele_size 34.6507677166644
11 1 91 P F 36.61 6.88 tele_size 36.4928496226797
11 1 92 P F 39.82 8.7 tele_size 29.3800172680246
11 1 93 P F 47.84 11.2 tele_size 48.4433984251115
11 1 94 P M 55.78 11.2 tele_size 49.2120606257952
11 1 95 P F 35.22 7.07 tele_size 26.2318446273672
11 1 96 P M 47.48 9.57 tele_size 47.6095207594819
11 1 97 P M 49.32 9.75 tele_size 39.9287747948806
11 1 98 P F 45.15 9.46 tele_size 35.7184088730115
11 1 99 P F 37.39 7.57 tele_size 26.733673909336
11 1 100 P F 37.1 7.82 tele_size 31.5069783921481
12 2 51 P F 37.13 7.16 tele_size 28.8329097147432
12 2 54 P F 38.63 7.69 tele_size 23.4989948025916
12 2 57 P F 46.46 9.56 tele_size 54.4818656789963
12 2 61 P F 47.35 9.31 tele_size 45.9710758781386
12 2 63 P F 43.3 8.4 tele_size 27.9939429680641
12 2 67 P F 42.5 8.55 tele_size 35.1060352392259
12 2 72 P M 39.22 7.18 tele_size 24.2899768773813
12 2 74 P F 36.79 7.38 tele_size 25.1417306373119
12 2 75 P F 37.09 7.4 tele_size 22.5854466823032
12 2 76 P M 47.59 8.9 tele_size 30.6568972085534
12 2 80 P M 49.51 9.43 tele_size 40.5507651960762
12 2 88 P F 39.77 7.67 tele_size 19.0735332018028
12 2 89 P M 40.42 7.82 tele_size 26.8169924912738
12 2 91 P M 44.65 8.66 tele_size 38.1949035024798
12 2 92 P M 36.79 6.95 tele_size 15.6390060945484
12 2 93 P F 47.05 9.85 tele_size 28.1555014327094
12 2 94 P M 45.91 8.59 tele_size 26.5728879541929
12 2 96 P M 51.61 9.37 tele_size 21.9914111966962
12 2 100 P M 37.64 7.09 tele_size 26.1165742982128
13 7 54 P F 38.7 7.96 tele_size 28.5730176064876
13 7 58 P F 38.18 8.13 tele_size 24.3714124424989
13 7 61 P F 39.22 7.57 tele_size 22.2189131924942
13 7 64 P M 35.13 7.19 tele_size 30.4558914630335
13 7 67 P F 30.98 6.16 tele_size 16.9279696877719
13 7 69 P M 44.64 9.51 tele_size 23.3940383697436
13 7 71 P M 43.14 9.17 tele_size 32.543154129259
13 7 79 P M 62.37 12.67 tele_size 14.7923092028445
13 7 80 P F 46.61 9.71 tele_size 39.6936759748096
13 7 81 P F 40.39 7.83 tele_size 20.1170274768617
13 7 82 P M 41.42 8.61 tele_size 20.7428299728897
13 7 84 P M 36.15 7.15 tele_size 18.8947609234454
13 7 88 P M 55.64 11.56 tele_size 32.0053790872083
13 7 89 P M 55.08 11.26 tele_size 30.6688795853689
13 7 91 P F 41.57 8.43 tele_size 18.643570767403
13 7 92 P F 42.09 8.81 tele_size 25.9911950391894
13 7 94 P F 46.96 9.69 tele_size 35.4722889526608
13 7 95 P M 45.71 9.83 tele_size 29.3065582899977
13 7 97 P M 39.95 8.49 tele_size 23.5988922963656
13 7 100 P M 46.98 10.08 tele_size 39.0808068593325
14 2 76 NP M 43.52 9.22 tele_size 49.5791906784759
14 2 77 NP M 47.02 9.47 tele_size 47.6508030657127
14 2 80 NP M 42.4 8.1 tele_size 33.6726206344655
14 2 82 NP F 48.86 10.19 tele_size 44.0845358201446
14 2 83 NP F 31.36 6.46 tele_size 21.9680422212026
14 2 84 NP F 34.03 6.59 tele_size 25.0023285509654
14 2 85 NP F 43.03 8.46 tele_size 41.3221662975465
14 2 86 NP M 49.95 10 tele_size 42.9652549744163
14 2 88 NP F 42.51 8.51 tele_size 51.3846948322313
14 2 89 NP F 45.32 8.63 tele_size 37.4382413031438
14 2 90 NP F 38.87 7.63 tele_size 35.9103912375464
14 2 91 NP F 39.43 8.47 tele_size 42.1215893165892
14 2 93 NP F 43.57 8.95 tele_size 43.606890572621
14 2 94 NP M 43.4 8.03 tele_size 35.6820768068301
14 2 95 NP M 40.1 8.14 tele_size 28.1064863943352
14 2 97 NP F 42.45 8.69 tele_size 37.5310211844924
14 2 98 NP M 40.7 8.03 tele_size 35.5845811518127
14 2 99 NP M 42.33 8.82 tele_size 33.0596246479701
14 2 100 NP M 46.23 9.89 tele_size 35.5437869298748
5 1 53 NP M 33.53 6.1 tele_size 29.7320328735738
5 1 54 NP F 27.91 5.39 tele_size 24.5135916049231
5 1 56 NP M 28.05 5.66 tele_size 51.4615287637601
5 1 58 NP F 26.94 5.23 tele_size 31.4918256488855
5 1 61 NP M 37.97 6.69 tele_size 28.1532829493961
5 1 64 NP M 26.05 5.77 tele_size 29.0107781605881
5 1 65 NP M 34.8 6.8 tele_size 23.4913051439099
5 1 78 NP F 33.35 6.23 tele_size 24.5816208579275
5 1 82 NP F 32.48 6.89 tele_size 22.5857235026426
5 1 84 NP F 34.78 7.08 tele_size 30.9232187181909
5 1 87 NP F 37.86 7.47 tele_size 31.9440015192497
5 1 89 NP F 37.69 7.19 tele_size 32.7834496802823
5 1 91 NP F 42.89 8.75 tele_size 36.2001640402487
5 1 93 NP F 34.51 6.59 tele_size 27.4760083243274
5 1 94 NP M 34.11 6.53 tele_size 20.6707326134386
5 1 95 NP F 35.33 6.4 tele_size 25.6953594798067
5 1 97 NP M 39.55 7.08 tele_size 28.5773519844362
5 1 98 NP M 39.95 7.98 tele_size 37.5421932271125
5 1 99 NP M 37.63 6.89 tele_size 29.0872399616707
5 1 100 NP M 36.41 6.41 tele_size 28.5961138005967
6 6 52 NP M 30.89 5.96 tele_size 22.3718170207625
6 6 54 NP F 30.6 6.35 tele_size 35.6014097373813
6 6 57 NP M 31.22 6.51 tele_size 20.9735918801834
6 6 58 NP M 35.13 7.23 tele_size 17.9660630204178
6 6 64 NP M 44.26 9.49 tele_size 38.9887449320685
6 6 69 NP F 37.53 7.06 tele_size 39.3570371168895
6 6 72 NP M 35.74 7.47 tele_size 34.0754236480096
6 6 73 NP M 36.73 7.29 tele_size 27.4771491325308
6 6 75 NP F 28.91 6.07 tele_size 23.9721080530413
6 6 76 NP F 35.24 7.1 tele_size 57.1242787481874
6 6 77 NP F 42.91 8.68 tele_size 48.2085410870879
6 6 91 NP F 37.53 7.42 tele_size 33.6966383935308
6 6 92 NP F 42.89 8.22 tele_size 43.8766664968925
6 6 94 NP F 42 8.61 tele_size 33.5486660487006
6 6 95 NP F 34.06 7.02 tele_size 21.2629616223911
6 6 97 NP M 43.39 8.19 tele_size 37.2967409307049
6 6 98 NP M 35.95 7.03 tele_size 21.214646266079
6 6 99 NP F 39.34 7.7 tele_size 41.5051591968832
6 6 100 NP M 39.78 7.61 tele_size 31.0773102375001
7 6 65 P F 35.27 6.86 tele_size 26.3993073810024
7 6 66 P M 43.89 8.9 tele_size 23.7365881646565
7 6 67 P M 41.6 8.54 tele_size 33.1377924358735
7 6 68 P M 40.67 8.29 tele_size 25.7057380145026
7 6 69 P M 43.51 8.52 tele_size 39.310971299129
7 6 70 P M 44.67 9.81 tele_size 39.8277892616252
7 6 71 P F 36.16 7.09 tele_size 29.88291192724
7 6 74 P M 41.23 7.92 tele_size 20.5396004302345
7 6 75 P M 47 9.55 tele_size 35.3918000512531
7 6 83 P F 38.06 7.45 tele_size 28.9874703532182
7 6 84 P F 42.17 8.37 tele_size 38.3601147183653
7 6 85 P F 45.45 9.07 tele_size 43.6161935905993
7 6 93 P F 39.14 7.9 tele_size 30.4828796046175
7 6 94 P M 37.67 7.24 tele_size 25.857961668166
7 6 95 P F 40.19 7.85 tele_size 25.8915553559116
7 6 96 P F 43.85 9.27 tele_size 39.9648005902936
7 6 97 P F 38.84 7.47 tele_size 27.1954225757602
