pond cross id treatment sex sl bd region size
5 1 82 NP F 32.48 6.89 olf_size 2.49738799744962
5 1 84 NP F 34.78 7.08 olf_size 3.72656789541747
5 1 87 NP F 37.86 7.47 olf_size 4.50172228551506
5 1 89 NP F 37.69 7.19 olf_size 5.03295377862176
5 1 91 NP F 42.89 8.75 olf_size 6.88680096580944
5 1 93 NP F 34.51 6.59 olf_size 3.13658417019286
5 1 94 NP M 34.11 6.53 olf_size 3.48483709273553
5 1 95 NP F 35.33 6.4 olf_size 3.56883801718279
5 1 97 NP M 39.55 7.08 olf_size 2.86113024172347
5 1 98 NP M 39.95 7.98 olf_size 5.19027018119332
5 1 99 NP M 37.63 6.89 olf_size 2.72517756328541
5 1 100 NP M 36.41 6.41 olf_size 4.20504969209797
6 6 52 NP M 30.89 5.96 olf_size 2.88969128373229
6 6 54 NP F 30.6 6.35 olf_size 5.23228141145996
6 6 57 NP M 31.22 6.51 olf_size 3.7886321953204
6 6 58 NP M 35.13 7.23 olf_size 2.34658675592853
6 6 64 NP M 44.26 9.49 olf_size 3.96658110432232
6 6 69 NP F 37.53 7.06 olf_size 4.44222914912756
6 6 72 NP M 35.74 7.47 olf_size 3.29546922767247
6 6 73 NP M 36.73 7.29 olf_size 4.27940728619208
6 6 75 NP F 28.91 6.07 olf_size 2.20588131827538
6 6 76 NP F 35.24 7.1 olf_size 7.61677636788858
6 6 77 NP F 42.91 8.68 olf_size 6.6723293932675
6 6 91 NP F 37.53 7.42 olf_size 5.18556655765109
6 6 92 NP F 42.89 8.22 olf_size 2.51131062746334
6 6 94 NP F 42 8.61 olf_size 2.48092511164146
6 6 95 NP F 34.06 7.02 olf_size 3.10877065041963
6 6 97 NP M 43.39 8.19 olf_size 5.23993139889627
6 6 98 NP M 35.95 7.03 olf_size 3.13365199413713
6 6 99 NP F 39.34 7.7 olf_size 4.12246630785551
6 6 100 NP M 39.78 7.61 olf_size 4.21002886806262
7 6 65 P F 35.27 6.86 olf_size 4.90615870643345
7 6 66 P M 43.89 8.9 olf_size 2.29360807404661
7 6 67 P M 41.6 8.54 olf_size 4.26179561752287
7 6 68 P M 40.67 8.29 olf_size 3.76117362973996
7 6 69 P M 43.51 8.52 olf_size 2.95107501454611
7 6 70 P M 44.67 9.81 olf_size 5.40385232908527
7 6 71 P F 36.16 7.09 olf_size 2.7469236927663
7 6 74 P M 41.23 7.92 olf_size 3.7157003210613
7 6 75 P M 47 9.55 olf_size 5.83039629499134
7 6 83 P F 38.06 7.45 olf_size 5.90299279675172
7 6 84 P F 42.17 8.37 olf_size 3.82341839768461
7 6 85 P F 45.45 9.07 olf_size 3.65849773333525
7 6 93 P F 39.14 7.9 olf_size 4.84957185959144
7 6 94 P M 37.67 7.24 olf_size 5.40820127387779
7 6 95 P F 40.19 7.85 olf_size 4.90081018237751
7 6 96 P F 43.85 9.27 olf_size 4.49513274062638
7 6 97 P F 38.84 7.47 olf_size 4.22852882222143
7 6 98 P F 39.64 7.93 olf_size 3.82229146127588
7 6 99 P M 51.05 10.19 olf_size 5.4160198645896
8 4 51 NP M 30.37 5.6 olf_size 2.8140090432542
