region term statistic df p.value stat_no_ixn df_no_ixn p.value_no_ixn
olf_size sl 40.9318572968 1 0.000000000157630562063885 41.5536437775539 1 0.000000000114680536550891
olf_size sex 1.50360805726751 1 0.220117036914567 1.54452679651883 1 0.213945256284224
olf_size treatment 5.45853527784048 1 0.0194729635085381 5.4254193849113 1 0.0198456684026041
olf_size sl:treatment 0.208465119990683 1 0.647973096148911 NA NA NA
olf_size sex:treatment 0.0638279757437123 1 0.800544878044648 NA NA NA
tele_size sl 29.1302130576737 1 0.0000000676733682996101 28.3152750861232 1 0.000000103079369903922
tele_size sex 35.0534018147875 1 0.00000000320786070010328 35.4532627056285 1 0.00000000261244414142555
tele_size treatment 0.152106043320242 1 0.696530817806939 0.0423533867461324 1 0.836947621845113
tele_size sl:treatment 7.32746054799656 1 0.00679089326118178 NA NA NA
tele_size sex:treatment 4.13559470914218 1 0.0419903106458612 NA NA NA
optic_size sl 39.8267921438528 1 0.000000000277512117919438 38.8881546935143 1 0.000000000448795630334881
optic_size sex 2.58406944373349 1 0.107943829894339 2.60749284107918 1 0.106359795156899
optic_size treatment 32.836388575704 1 0.0000000100250565187161 32.7623754556458 1 0.0000000104141168924995
optic_size sl:treatment 1.98877509680512 1 0.158469012690732 NA NA NA
optic_size sex:treatment 2.77271456829815 1 0.0958834296242545 NA NA NA
cere_size sl 48.5795731845871 1 0.00000000000317155485118444 48.5572352671651 1 0.00000000000320788634107018
cere_size sex 3.36244303875579 1 0.0666990509822609 3.41390728703789 1 0.0646492010422427
cere_size treatment 1.61870739813714 1 0.203272116680051 1.58739157387304 1 0.207699201334641
cere_size sl:treatment 0.482410068245635 1 0.487332678082067 NA NA NA
cere_size sex:treatment 1.39449642050254 1 0.237647227112444 NA NA NA
total_size sl 47.7569011502501 1 0.00000000000482482863042301 46.7958284551152 1 0.00000000000787809251877071
total_size sex 8.54627955823559 1 0.0034622913635432 8.62881712826147 1 0.0033088635954637
total_size treatment 11.1580734002397 1 0.000836667658718186 11.1742981871763 1 0.000829382623777519
total_size sl:treatment 2.38632097382144 1 0.122401387651686 NA NA NA
total_size sex:treatment 2.83900706014027 1 0.0920010496150091 NA NA NA
